result_id	short_name	question	experiment	report	primary_artifact	code	commit	current_status
P1-R001	baseline-pipeline	What multiscale structure is present in the canonical transcription?	experiments/voynich-v1	experiments/voynich-v1/REPORT.md	experiments/voynich-v1/outputs	runner;cmd;internal	61d6c206 (recorded by report)	CURRENT
P1-R002	inverse-transposition-method	Can the structural objective recover known simple transpositions?	research/phase1/inverse-transposition-search	research/phase1/inverse-transposition-search/INVERSE_TRANSPOSITION_TASK54_1_REPORT.md	research/phase1/inverse-transposition-search/INVERSE_TRANSPOSITION_METRIC_AUDIT.md	research/phase1/inverse-transposition-search;internal/inversetransposition	see experiment provenance	CURRENT_METHOD_VALIDATION
P1-R003	inverse-transposition-voynich	Does a tested inverse transposition improve held-out Voynich structure?	experiments/inverse-transposition/voynich-validation	experiments/inverse-transposition/voynich-validation/VALIDATION_REPORT.md	experiments/inverse-transposition/voynich-validation/discovery_effects.tsv	research/phase1/voynich-validation;internal/inversetransposition	df5eb2410fe5fc57c0981e699c7392bc2ceb71be	CURRENT_NEGATIVE
P1-R004	inverse-homophony	Does the inverse method pass its synthetic gate before Voynich use?	experiments/inverse-homophony/synthetic-validation	experiments/inverse-homophony/synthetic-validation/SYNTHETIC_VALIDATION_REPORT.md	experiments/inverse-homophony/synthetic-validation/validation_split.tsv	research/phase1/inverse-homophony;internal/inversehomophony	9737c991613eb4fda6f18aec999a13a34225ca0f	CURRENT_GATE_FAIL_PHASE_B_NOT_RUN
P1-R005	token-order-mi	How much adjacent-token dependence remains after within-line shuffle correction?	experiments/rozanova-temerev-v1	experiments/rozanova-temerev-v1/REPORT.md	experiments/rozanova-temerev-v1/KEY_100_RESULTS.tsv	research/phase1/rozanova-temerev;internal/evaglyph	ba88b2de62331a6638aacaa24112717ec48dd21b	CURRENT_CORRECTED
P1-R006	glyph-position	Are frequent glyphs positionally specialized and can simple homophony reproduce this?	experiments/glyph-position-v1	experiments/glyph-position-v1/REPORT.md	experiments/glyph-position-v1/POSITIONAL_SPECIALIZATION_COMPARISON.tsv	research/phase1/glyph-position-analyze;internal/evaglyph	manifest a6904f0f87f352450cd70f9eabd6c8e6c11710f6; corrected tree ba88b2de62331a6638aacaa24112717ec48dd21b	CURRENT_CORRECTED
P1-R007	repetition-edit	How unusual are exact and near repeats under matched nulls?	experiments/token-repetition-v1	experiments/token-repetition-v1/REPORT.md	experiments/token-repetition-v1/EXACT_ADJACENT_REPETITION.tsv	research/phase1/token-repetition-analyze;internal/evaglyph	ba88b2de62331a6638aacaa24112717ec48dd21b	CURRENT
P1-R008	character-entropy	How predictable is the glyph stream under explicit boundary representations?	experiments/character-entropy-v1	experiments/character-entropy-v1/REPORT.md	experiments/character-entropy-v1/ENTROPY_BOUNDARY_MODES.tsv	research/phase1/character-entropy-analyze;internal/characterentropy	1692874b0426e8f5502f42992e1fdab7f777cae0	CURRENT_REPRESENTATION_SENSITIVE
P1-R009	token-formation	Can a held-out local generator reproduce token structure and adjacent similarity?	experiments/token-formation-v1	experiments/token-formation-v1/REPORT.md	experiments/token-formation-v1/MODEL_SELECTION.tsv	research/phase1/token-formation-analyze;internal/tokenformation	9e21b01e95237554b6b11c8607a57692ba119a59	CURRENT_PARTIAL
P1-R010	token-transition	Is there adjacent form dependence beyond length and vocabulary opportunity?	experiments/token-transition-v1	experiments/token-transition-v1/REPORT.md	experiments/token-transition-v1/ADJACENT_DISTANCE.tsv	research/phase1/token-transition-analyze;internal/tokentransition	6cf53a6dd154161f14c04caa722201750dcaf2a6	CURRENT_PARTIAL
P1-R011	line-local-regime	Is the physical line a unique regime scale?	experiments/line-regime-v1	experiments/line-regime-v1/REPORT.md	experiments/line-regime-v1/REGIME_SCALE_COMPARISON.tsv	research/phase1/line-regime-analyze;internal/lineregime	6cf53a6dd154161f14c04caa722201750dcaf2a6	CURRENT_BROADER_LOCAL_REGIME
P1-R012	local-topology	Are local regimes drifting, discrete, recurrent and metadata-explained?	experiments/local-regime-topology-v1	experiments/local-regime-topology-v1/REPORT.md	experiments/local-regime-topology-v1/LOCAL_REGIME_DECAY.tsv	research/phase1/local-regime-topology-analyze;internal/localregimetopology	8e67ee09756dc58568c5f245df260fe199571bfb	CURRENT_MIXED
P1-R013	mechanism-space	Which tested mechanism components are needed for held-out fingerprint coverage?	experiments/mechanism-space-v1	experiments/mechanism-space-v1/REPORT.md	experiments/mechanism-space-v1/ARCHITECTURE_ABLATION.tsv	research/phase1/mechanism-space-analyze;internal/mechanismspace	d485fe1c28034cb11481af7f4ae408739a92a05f	CURRENT_WITH_PROVENANCE_LIMITATION
P1-R014	recoverability	How do synthetic fingerprint compatibility, ambiguity and error robustness relate?	experiments/recoverability-v1	experiments/recoverability-v1/REPORT.md	experiments/recoverability-v1/FINAL_CLASSIFICATION.tsv	research/phase1/recoverability-analyze;internal/recoverability	0e8b3da23cef1fb64895a5ad8605d4952ebc6299	CURRENT_MEASURED; 553ef02 SUPERSEDED
P1-R015	literature-audit	Which observations replicate prior work and which tests lack direct precedent?	docs/literature	docs/literature/LITERATURE_SYNTHESIS.md	docs/literature/TASK58_67_LITERATURE_CROSSWALK.tsv	documentary audit	Task68/69 repository artifacts	CURRENT
