sequence	n	canonical_occurrences	eligible_occurrences	physical_blocks	joint_classes	currier_classes	hands	max_block_fraction	block_entropy_bits	classification	token_validity	canonical_token_occurrences	contains_question	contains_at	contains_other_nonstandard_marker	absent_tokens
x000026 x005446	2	9	9	9	3	3	1	0.1111111111111111	3.169925001442312	GROUP_CONSISTENT	ambiguous-transcription	520,50	false	false	true	
x000026 x010159	2	11	11	9	4	4	1	0.18181818181818182	3.095795255000934	GROUP_CONSISTENT	ambiguous-transcription	520,55	false	false	true	
x000027 x004066 x002340	3	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	571,24,4	false	false	true	
x000027 x005446	2	14	14	13	4	4	1	0.14285714285714285	3.6644977792004623	GROUP_CONSISTENT	ambiguous-transcription	571,50	false	false	true	
x000356 x000026	2	12	12	10	4	4	1	0.16666666666666666	3.2516291673878226	GROUP_CONSISTENT	ambiguous-transcription	591,520	false	false	true	
x000356 x000027	2	9	9	9	4	4	1	0.1111111111111111	3.169925001442312	GROUP_CONSISTENT	ambiguous-transcription	591,571	false	false	true	
x000356 x004353	2	9	9	9	4	4	1	0.1111111111111111	3.169925001442312	GROUP_CONSISTENT	ambiguous-transcription	591,322	false	false	true	
x000356 x004624	2	18	18	16	4	4	1	0.1111111111111111	3.94770277922009	GROUP_CONSISTENT	ambiguous-transcription	591,613	false	false	true	
x000356 x004625	2	18	18	15	4	4	1	0.16666666666666666	3.794653473544342	GROUP_CONSISTENT	ambiguous-transcription	591,623	false	false	true	
x000356 x009464	2	19	19	15	4	4	1	0.15789473684210525	3.7871439606981383	GROUP_CONSISTENT	ambiguous-transcription	591,1174	false	false	true	
x000356 x009465	2	14	14	12	4	4	1	0.14285714285714285	3.521640636343319	GROUP_CONSISTENT	ambiguous-transcription	591,1151	false	false	true	
x000357 x000026	2	10	10	8	4	4	1	0.2	2.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	596,520	false	false	true	
x000357 x004624	2	20	20	18	4	4	1	0.1	4.1219280948873624	GROUP_CONSISTENT	ambiguous-transcription	596,613	false	false	true	
x000357 x004625	2	30	30	23	4	4	1	0.1	4.415061012203069	GROUP_CONSISTENT	ambiguous-transcription	596,623	false	false	true	
x000357 x009464	2	18	18	16	4	4	1	0.1111111111111111	3.94770277922009	GROUP_CONSISTENT	ambiguous-transcription	596,1174	false	false	true	
