curve_id	checkpoint	value	status	reason
A2_BIGRAM_TYPES	5000	325	COMPARABLE	
A3_TRIGRAM_TYPES	5000	1691	COMPARABLE	
AT_TRANSITION_TYPES	5000	3592	COMPARABLE	
A2_BIGRAM_TYPES	10000	387	COMPARABLE	
A3_TRIGRAM_TYPES	10000	2079	COMPARABLE	
AT_TRANSITION_TYPES	10000	7256	COMPARABLE	
A2_BIGRAM_TYPES	20000		NOT_COMPARABLE	corpus smaller than checkpoint
A3_TRIGRAM_TYPES	20000		NOT_COMPARABLE	corpus smaller than checkpoint
AT_TRANSITION_TYPES	20000		NOT_COMPARABLE	corpus smaller than checkpoint
A2_BIGRAM_TYPES	39380		NOT_COMPARABLE	corpus smaller than checkpoint
A3_TRIGRAM_TYPES	39380		NOT_COMPARABLE	corpus smaller than checkpoint
AT_TRANSITION_TYPES	39380		NOT_COMPARABLE	corpus smaller than checkpoint
