candidate_id	model_class	route	frozen_hyperparameters	production_implementation	tests	status	blocker
M0-iid-0	M0	iid	"{""alpha"":""0""}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M0-iid-0p1	M0	iid	"{""alpha"":""0.1""}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M0-iid-0p5	M0	iid	"{""alpha"":""0.5""}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M0-iid-1	M0	iid	"{""alpha"":""1""}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M1-markov-1-0	M1	markov	"{""alpha"":""0"",""order"":1}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M1-markov-1-0p1	M1	markov	"{""alpha"":""0.1"",""order"":1}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M1-markov-1-0p5	M1	markov	"{""alpha"":""0.5"",""order"":1}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M1-markov-1-1	M1	markov	"{""alpha"":""1"",""order"":1}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M1-markov-2-0	M1	markov	"{""alpha"":""0"",""order"":2}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M1-markov-2-0p1	M1	markov	"{""alpha"":""0.1"",""order"":2}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M1-markov-2-0p5	M1	markov	"{""alpha"":""0.5"",""order"":2}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M1-markov-2-1	M1	markov	"{""alpha"":""1"",""order"":2}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M1-markov-3-0	M1	markov	"{""alpha"":""0"",""order"":3}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M1-markov-3-0p1	M1	markov	"{""alpha"":""0.1"",""order"":3}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M1-markov-3-0p5	M1	markov	"{""alpha"":""0.5"",""order"":3}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M1-markov-3-1	M1	markov	"{""alpha"":""1"",""order"":3}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M2-pst-2-0	M2	pst	"{""gain_bits"":""0"",""max_depth"":2}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M2-pst-2-2	M2	pst	"{""gain_bits"":""2"",""max_depth"":2}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M2-pst-2-5	M2	pst	"{""gain_bits"":""5"",""max_depth"":2}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M2-pst-4-0	M2	pst	"{""gain_bits"":""0"",""max_depth"":4}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M2-pst-4-2	M2	pst	"{""gain_bits"":""2"",""max_depth"":4}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M2-pst-4-5	M2	pst	"{""gain_bits"":""5"",""max_depth"":4}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M2-pst-6-0	M2	pst	"{""gain_bits"":""0"",""max_depth"":6}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M2-pst-6-2	M2	pst	"{""gain_bits"":""2"",""max_depth"":6}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M2-pst-6-5	M2	pst	"{""gain_bits"":""5"",""max_depth"":6}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M3-exact-2	M3	exact	"{""max_states"":2}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M3-exact-3	M3	exact	"{""max_states"":3}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M3-approx-4-0p01	M3	approx	"{""max_states"":4,""merge_js"":""0.01""}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M3-approx-4-0p05	M3	approx	"{""max_states"":4,""merge_js"":""0.05""}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M3-approx-8-0p01	M3	approx	"{""max_states"":8,""merge_js"":""0.01""}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M3-approx-8-0p05	M3	approx	"{""max_states"":8,""merge_js"":""0.05""}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M4-hmm-2-0p01	M4	hmm	"{""alpha"":""0.01"",""states"":2}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M4-hmm-2-0p1	M4	hmm	"{""alpha"":""0.1"",""states"":2}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M4-hmm-3-0p01	M4	hmm	"{""alpha"":""0.01"",""states"":3}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M4-hmm-3-0p1	M4	hmm	"{""alpha"":""0.1"",""states"":3}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M4-hmm-4-0p01	M4	hmm	"{""alpha"":""0.01"",""states"":4}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M4-hmm-4-0p1	M4	hmm	"{""alpha"":""0.1"",""states"":4}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M5-grammar-0p01-2	M5	grammar	"{""backoff_weight"":""0.01"",""min_rule_support"":2}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M5-grammar-0p01-5	M5	grammar	"{""backoff_weight"":""0.01"",""min_rule_support"":5}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M5-grammar-0p05-2	M5	grammar	"{""backoff_weight"":""0.05"",""min_rule_support"":2}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M5-grammar-0p05-5	M5	grammar	"{""backoff_weight"":""0.05"",""min_rule_support"":5}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M5-grammar-0p1-2	M5	grammar	"{""backoff_weight"":""0.1"",""min_rule_support"":2}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
M5-grammar-0p1-5	M5	grammar	"{""backoff_weight"":""0.1"",""min_rule_support"":5}"	NOT_IMPLEMENTED	NOT_RUN	BLOCKED_CONTRACT_DEFECT_A17	A17 status/schema contradiction
