evidence_type	status	classification	normative_source
fit	PASS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fit
fit	FAIL	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fit
fit	NOT_ASSESSABLE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fit
fit	FIT_SUCCESS	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fit
fit	GENERATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fit
fit	COMPLEXITY_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fit
fit	AGGREGATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fit
fit	FIT_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fit
fit	NUMERICAL_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fit
fit	INDUCTION_CAP	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fit
fit	GENERATION_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fit
fit	PROTOCOL_VETO	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fit
fit	NOT_REACHED	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fit
fitted_model	PASS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fitted_model
fitted_model	FAIL	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fitted_model
fitted_model	NOT_ASSESSABLE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fitted_model
fitted_model	FIT_SUCCESS	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fitted_model
fitted_model	GENERATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fitted_model
fitted_model	COMPLEXITY_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fitted_model
fitted_model	AGGREGATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fitted_model
fitted_model	FIT_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fitted_model
fitted_model	NUMERICAL_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fitted_model
fitted_model	INDUCTION_CAP	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fitted_model
fitted_model	GENERATION_FAILURE	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fitted_model
fitted_model	PROTOCOL_VETO	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fitted_model
fitted_model	NOT_REACHED	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#fitted_model
predictive_metric	PASS	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_metric
predictive_metric	FAIL	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_metric
predictive_metric	NOT_ASSESSABLE	ALLOWED	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_metric
predictive_metric	FIT_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_metric
predictive_metric	GENERATION_SUCCESS	FORBIDDEN	G1V2_EVIDENCE_STATUS_SEMANTICS.tsv#predictive_metric
