sequence	n	token_validity	sequence_status	shuffle_block_p	shuffle_block_fdr_q	markov_block_p
x001068 x028397	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.023976023976023976	0.025417205745074598	0.5264735264735265
x001069 x013872	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.011988011988011988	0.013761386542451631	0.4515484515484515
x001069 x028393	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.26573426573426573	0.26573426573426573	0.6553446553446554
x001070 x013875	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.012987012987012988	0.014563471210870055	0.5054945054945055
x001071 x013872	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.005994005994005994	0.00722259107352275	0.5554445554445554
x001071 x013875	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001601704081042924	0.4645354645354645
x001071 x013876	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.003996003996003996	0.004937737421813855	0.5584415584415584
x001071 x013877	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.02097902097902098	0.022485801491326354	0.5174825174825175
x001071 x028392	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.06993006993006994	0.07065850815850816	0.5144855144855145
x001072 x013876	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.006993006993006993	0.008322965378180102	0.6133866133866134
x001072 x028396	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.06893106893106893	0.07001375587763022	0.5884115884115884
x001752 x028392	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001601704081042924	0.4015984015984016
x001752 x028394	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.0028087854174810695	0.4125874125874126
x001753 x028392	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001601704081042924	0.4725274725274725
