transcription	class	family	available_metrics	total_rows	mean_absolute_residual	classification
IT2a	EXTRACTION	cross-scale	0	60	NA	family unavailable
IT2a	EXTRACTION	edit family	228	240	1.022091	family mismatch
IT2a	EXTRACTION	lexical paradigm	171	180	0.696543	family match
IT2a	FONTANA	cross-scale	0	198	NA	family unavailable
IT2a	FONTANA	edit family	720	792	1.099164	family mismatch
IT2a	FONTANA	lexical paradigm	540	594	0.905845	family match
IT2a	NATURAL	cross-scale	0	3	NA	family unavailable
IT2a	NATURAL	edit family	12	12	0.897536	family match
IT2a	NATURAL	lexical paradigm	9	9	0.358311	family match
IT2a	SHORTHAND	cross-scale	0	6	NA	family unavailable
IT2a	SHORTHAND	edit family	24	24	1.145507	family mismatch
IT2a	SHORTHAND	lexical paradigm	18	18	0.711598	family match
IT2a	SIMPLE_NULL	cross-scale	0	270	NA	family unavailable
IT2a	SIMPLE_NULL	edit family	864	1080	1.068799	family mismatch
IT2a	SIMPLE_NULL	lexical paradigm	648	810	0.834282	family match
ZL3b	EXTRACTION	cross-scale	0	60	NA	family unavailable
ZL3b	EXTRACTION	edit family	228	240	1.018612	family mismatch
ZL3b	EXTRACTION	lexical paradigm	171	180	0.699710	family match
ZL3b	FONTANA	cross-scale	0	198	NA	family unavailable
ZL3b	FONTANA	edit family	720	792	1.100459	family mismatch
ZL3b	FONTANA	lexical paradigm	540	594	0.919681	family match
ZL3b	NATURAL	cross-scale	0	3	NA	family unavailable
ZL3b	NATURAL	edit family	12	12	0.892223	family match
ZL3b	NATURAL	lexical paradigm	9	9	0.336869	family match
ZL3b	SHORTHAND	cross-scale	0	6	NA	family unavailable
ZL3b	SHORTHAND	edit family	24	24	1.140195	family mismatch
ZL3b	SHORTHAND	lexical paradigm	18	18	0.690155	family match
ZL3b	SIMPLE_NULL	cross-scale	0	270	NA	family unavailable
ZL3b	SIMPLE_NULL	edit family	864	1080	1.069789	family mismatch
ZL3b	SIMPLE_NULL	lexical paradigm	648	810	0.849085	family match
