metric_id	family	redundancy_class	folio_half_stability	parameter_sensitivity	transcription_stability	bootstrap_stability	final_stability_status
2DL1_LAYOUT_POSITION_MI	2D-LITE	CORE	ROBUST	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	STABLE	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	STABLE
BP1_BOUNDARY_TOKEN_NMI	boundary	CORE	ROBUST	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	DIRECTION_STABLE	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	STABLE
EF1_GIANT_COMPONENT_SHARE	edit family	CORE	ROBUST_WITH_LIMITATIONS	see task75/task77 audit	DIRECTION_STABLE	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	STABLE
EF1_ISOLATE_SHARE	edit family	SUPPORTING	ROBUST_WITH_LIMITATIONS	see task75/task77 audit	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
EF2_GLOBAL_CLUSTERING	edit family	CORE	ROBUST_WITH_LIMITATIONS	see task75/task77 audit	DIRECTION_STABLE	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	STABLE
EF3_DEGREE_FREQUENCY_SPEARMAN	edit family	CORE	ROBUST_WITH_LIMITATIONS	see task75/task77 audit	DIRECTION_STABLE	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	STABLE
HR1_FOLIO_VARIANCE_SHARE	hierarchy	CORE	ROBUST	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	DIRECTION_STABLE	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	STABLE
HR1_LOCUS_VARIANCE_SHARE	hierarchy	SUPPORTING	ROBUST	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
HR1_SECTION_VARIANCE_SHARE	hierarchy	CORE	ROBUST	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	DIRECTION_STABLE	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	STABLE
HR6_CURRIER_SECTION_NMI	hierarchy	SUPPORTING	ROBUST	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
LC1_LOCUS_TYPE_NMI	locus	CORE	ROBUST	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	DIRECTION_STABLE	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	STABLE
LC2_LABEL_TEXT_NMI	locus	CORE	ROBUST	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	STABLE	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	STABLE
LC5_IVTFF_I_NMI	locus	SUPPORTING	ROBUST	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
LC5_IVTFF_X_NMI	locus	SUPPORTING	ROBUST	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
LP1_RULE_SUPPORT_GINI	lexical paradigm	SUPPORTING	ROBUST_WITH_LIMITATIONS	see task75/task77 audit	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
LP4_PREFIX_ATTACHMENT_NMI	lexical paradigm	SUPPORTING	ROBUST_WITH_LIMITATIONS	see task75/task77 audit	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
LP4_SUFFIX_ATTACHMENT_NMI	lexical paradigm	SUPPORTING	ROBUST_WITH_LIMITATIONS	see task75/task77 audit	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
LS1_LINE_LENGTH_CV	line	SUPPORTING	ROBUST_WITH_LIMITATIONS	ROBUST	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
LS2_POSITIONAL_LEXICON_NMI	line	CORE	ROBUST	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	DIRECTION_STABLE	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	STABLE
LS3_BOUNDARY_LENGTH_ASYMMETRY	line	CORE	ROBUST	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	DIRECTION_STABLE	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	STABLE
LS4_WITHIN_LINE_EXACT_REPETITION	line	SUPPORTING	ROBUST	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
PF2_FOLIO_COHERENCE	folio	CORE	ROBUST	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	STABLE	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	STABLE
PF3_ADJACENT_FOLIO_CONTINUITY	folio	SUPPORTING	ROBUST	ROBUST_WITH_LIMITATIONS: fixed preregistered categories; threshold-free statistic	NOT_IN_SCOPE (SUPPORTING metric; Task79c cross-transcription battery covers the 13 CORE metrics per parent section 8)	N/A (folio-bootstrap CI computed only for LS1 in Task79 canonical run; not extended by Task79c)	UNCHANGED_FROM_TASK79 (SUPPORTING; not re-examined by Task79c)
