baseline_id	name	role	construction	target_blind	corresponds_to	purpose
B0	IID glyph baseline	VM_COMPARISON	Draw GLYPHs i.i.d. from the DEVELOPMENT marginal glyph-frequency distribution; draw TOKEN boundaries i.i.d. from the observed TOKEN-length distribution	fit only on DEVELOPMENT, never on VALIDATION/HELDOUT	GLYPH-level instance of M0	Distinguishes any GLYPH-level structure from pure frequency
B1	Unigram token model	VM_COMPARISON	M0 exactly: draw TOKENs i.i.d. from the DEVELOPMENT TOKEN-frequency distribution	fit only on DEVELOPMENT	M0	Floor for any G1+ model claiming to beat trivial frequency fit (task85 section 20's "trivial frequency fit" contrast)
B2	Simple n-gram model	VM_COMPARISON	M1/M2 instance at a low order (e.g. order-2 GLYPH bigram), order frozen on VALIDATION only	order selected on VALIDATION, never on HELDOUT or by Voynich target fit	M1 or M2, low order	Floor for any higher-order/finite-state model claiming genuine gain over short local dependence
B3	Shuffled-token control	VM_COMPARISON	Permute which observed TOKEN occupies which borrowed-skeleton slot, corpus-wide (preserves TOKEN-frequency spectrum and the skeleton exactly; destroys sequence/positional structure)	deterministic seeded permutation of already-observed DEVELOPMENT/VALIDATION/HELDOUT data; reads no VM statistic beyond frequency and skeleton length	transformation, not a fitted model class	Null for "does sequence/positional structure exist beyond frequency"
B4	Formation-preserving shuffled control	VM_COMPARISON	Permute TOKEN identities only among skeleton slots that share the same GLYPH-length class (preserves each TOKEN's own internal formation and the marginal length distribution per slot)	construction reads only GLYPH-length class and skeleton length, defined before any VM sequence/positional statistic is computed	transformation, not a fitted model class	Null for "does sequence/positional structure exist beyond frequency AND length-class", a stricter control than B3
B5	Natural-language controls	VM_COMPARISON	Reuse already provenance-valid natural-text corpora frozen elsewhere in this repository (Doyle/Longfellow/Astafiev, internal/evaglyph.NaturalGlyphs; task85 section 21 forbids ad hoc new controls unless VALIDATION shows these inadequate in scale, in which case the scale-normalized protocol of task85 section 21 applies before any VM comparison)	corpora predate and are independent of this design	external corpus substitution, not a Voynich model	Distinguishes VM-specific structure from ordinary natural-text structure
MFC0	Message-free calibration: IID	MESSAGE_FREE_CALIBRATION	Generate a synthetic corpus from B0/B1 (a generator known, by construction, to carry no message), then run the full Task86+ grammar-fitting pipeline on that synthetic corpus	generator constructed before any VM data is read for this purpose	M0	Calibrates what a "successful grammar fit" looks like when the ground truth is no-message (task85 section 22), before ever fitting on VM
MFC1	Message-free calibration: Markov	MESSAGE_FREE_CALIBRATION	Generate a synthetic corpus from a frozen M1/M2 instance, then run the full Task86+ pipeline on it	as MFC0	M1/M2	As MFC0, at short-range dependence
MFC2	Message-free calibration: constrained formation	MESSAGE_FREE_CALIBRATION	Generate a synthetic corpus from a frozen M3/M4/M5 instance, then run the full Task86+ pipeline on it	as MFC0	M3/M4/M5	As MFC0, at the finite-state/component-grammar level; directly calibrates "grammar detected" against a known constrained-but-message-free generator
MFC3	Message-free calibration: shuffled-grammar-like	MESSAGE_FREE_CALIBRATION	Apply a B3/B4-style shuffle to one of MFC0-MFC2's own synthetic outputs, then run the full Task86+ pipeline on the shuffled version	as MFC0	transformation of MFC0-MFC2	As MFC0, isolating what sequence/positional structure a grammar-detection pipeline could spuriously "recover" from a shuffled, still message-free, corpus
