sequence	n	token_validity	sequence_status	shuffle_block_p	shuffle_block_fdr_q	markov_block_p
x000106 x040635	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.46853146853146854
x001088 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.46553446553446554
x001424 x000104	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.03696303696303696	0.03979081028261356	0.5524475524475524
x001424 x018496	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.06593406593406594	0.069459951812893	0.5744255744255744
x001424 x018498	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.005994005994005994	0.006945995181289299	0.6663336663336663
x001425 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.07192807192807193	0.07418759251219985	0.4305694305694306
x001425 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.07192807192807193	0.07418759251219985	0.5384615384615384
x001426 x018498	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.017982017982017984	0.019790265600321467	0.7332667332667333
x001426 x018499	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.7642357642357642
x001426 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.19880119880119881	0.19880119880119881	0.5274725274725275
x001426 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.09290709290709291	0.09434380052936754	0.5114885114885115
x001426 x037859	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.08491508491508491	0.08667498304804004	0.5724275724275725
x001428 x017890	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5594405594405595
x002105 x017408	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5384615384615384
x002336 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4095904095904096
x002336 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.007992007992007992	0.009153637060613805	0.6793206793206793
x002337 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4745254745254745
x002337 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.6153846153846154
x002338 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.46653346653346656
x005072 x018497	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.003996003996003996	0.004770986589168407	0.5984015984015985
x011064 x037264	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.17282717282717283
x011064 x037266	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.28771228771228774
x011177 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5044955044955045
x014825 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.003996003996003996	0.004770986589168407	0.6093906093906094
x014825 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.002695934202783518	0.5524475524475524
x015281 x037856	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.6703296703296703
x017378 x003192	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.4955044955044955
x017408 x031704	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5284715284715285
x017408 x041112	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.003996003996003996	0.004770986589168407	0.5474525474525475
x017408 x042465	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5164835164835165
x017409 x016899	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5014985014985015
x017409 x031704	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.7692307692307693
x017409 x041112	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0015496314708913135	0.5114885114885115
