transcription	model_class	candidate_id	scale	replicates	converged	excessive_cv
ZL3b	M0	M0-003	0.5	32	TRUE	FALSE
ZL3b	M0	M0-003	1	32	FALSE	FALSE
ZL3b	M0	M0-003	2	32	FALSE	FALSE
ZL3b	M1	M1-009	0.5	32	TRUE	FALSE
ZL3b	M1	M1-009	1	32	FALSE	FALSE
ZL3b	M1	M1-009	2	16	TRUE	FALSE
ZL3b	M2	M2-003	0.5	32	TRUE	FALSE
ZL3b	M2	M2-003	1	32	TRUE	FALSE
ZL3b	M2	M2-003	2	32	TRUE	FALSE
ZL3b	M5	M5-001	0.5	32	FALSE	FALSE
ZL3b	M5	M5-001	1	32	FALSE	FALSE
ZL3b	M5	M5-001	2	32	TRUE	FALSE
IT2a	M0	M0-003	0.5	32	FALSE	FALSE
IT2a	M0	M0-003	1	16	TRUE	FALSE
IT2a	M0	M0-003	2	32	FALSE	FALSE
IT2a	M1	M1-009	0.5	32	FALSE	FALSE
IT2a	M1	M1-009	1	32	FALSE	FALSE
IT2a	M1	M1-009	2	32	TRUE	FALSE
IT2a	M2	M2-003	0.5	32	FALSE	FALSE
IT2a	M2	M2-003	1	32	FALSE	FALSE
IT2a	M2	M2-003	2	16	TRUE	FALSE
IT2a	M5	M5-001	0.5	32	FALSE	FALSE
IT2a	M5	M5-001	1	32	TRUE	FALSE
IT2a	M5	M5-001	2	32	FALSE	FALSE
