unit_id	name	definition	source	level_introduced	semantic_assumption_excluded	note
GLYPH	GLYPH	Atomic EVA symbol produced by evaglyph.CollapseEVA's longest-first composite-collapsing table (cth/ckh/cph/cfh/iin/ain/ch/sh/ee/in -> one uppercase symbol; else one glyph per rune)	internal/evaglyph.CollapseEVA(token)	G1	glyph = character/letter is NOT assumed	Same parser used by Task58/59/60/77/82b. ZL3b glyph inventory = 45 symbols, IT2a = 32 (transcription-notational difference; not itself evidence about Voynichese)
TOKEN	TOKEN	One maximal whitespace-delimited field of the frozen canonical corpus file, i.e. internal/genericsegmentation.ReadCorpus's tokenization (identical to internal/fingerprintv2's corpus loader)	data_work/{ZL3b,IT2a}-x7.canonical.txt	G1	token = word is NOT assumed	39,380 ZL3b tokens (8,243 vocabulary types) / 37,945 IT2a tokens (8,069 vocabulary types); GRAMMAR_CORPUS_SPLIT_MANIFEST.json corpus_totals
COMPONENT	COMPONENT	A model-class-defined decomposition unit of a TOKEN's GLYPH sequence (e.g. fixed-width n-gram, induced segment, single GLYPH, slot-grammar constituent). Alphabet and boundaries are defined per model class in GRAMMAR_MODEL_REGISTRY.tsv; Task85 fixes no COMPONENT alphabet	derived per model class	G1	component = morpheme is NOT assumed; any prefix/suffix/stem vocabulary a model class uses must be tagged "(formal, not semantic)"	Only M5 (component/rule formation grammar) makes COMPONENT explicit structure; M0-M4 do not decompose below GLYPH
POSITION	POSITION	Index of a GLYPH within a TOKEN (G1 scope), or index of a TOKEN within its CONTEXT window (G2 scope), or index of a TOKEN within a LINE (G3 scope, "position in physical line")	derived	G1/G2/G3	position = grammatical role is NOT assumed	Same POSITION name is reused at three scopes deliberately; the scope is always stated alongside it
CONTEXT	CONTEXT	The bounded window of preceding (and, only where the discovery protocol declares it legitimate, following) TOKENs available to G2, defined purely by TOKEN sequence order, without reference to LINE/PAGE/FOLIO boundaries	TOKEN sequence order in the canonical corpus	G2	context = phrase/clause is NOT assumed	Window width is a G2 hyperparameter frozen in the Task86/87-style handoff, not chosen by Task85
STRUCTURAL_STATE	STRUCTURAL_STATE	Any G3 conditioning variable that has passed the GRAMMAR_F2_APPLICABILITY.tsv applicability audit: LINE position/boundary, LOCUS type, FOLIO identity, section, Currier language, recto/verso, local regime	internal/metadatavalidation.Align token-to-locus join (Folio, LineID, LocusID, LocusType, Variables[$L,$I])	G3	structural_state = discourse/topic is NOT assumed	Never includes a variable admitted only because it improves fit (task85 section 8)
LINE	LINE	One physical manuscript line: the set of TOKENs sharing one (Folio, LineID) key produced by the frozen internal/metadatavalidation.Align token-level join	internal/metadatavalidation.Align	G3	line = sentence is NOT assumed	Join is token-level, not canonical-line-index equality: IT2a's 5215 raw IVTFF loci fold into 5207 physical LINEs because some loci are same-line continuation fragments (task85-analyze finding; task65's naive equal-line-count loader would silently mis-join IT2a)
LOCUS	LOCUS	One IVTFF locus record (Locus.ID / Locus.Type: paragraph start, label, continuation, etc.)	internal/metadatavalidation.ParseIVTFF	G3	locus type = syntactic category is NOT assumed	Sub-LINE granularity where the IVTFF transcription marks it
FOLIO	FOLIO	One physical leaf: the union of its recto/verso (and, for foldouts, multi-part) pages. The atomic unit of GRAMMAR_CORPUS_SPLIT.tsv	derived (leafOf(page) grouping in task85-analyze)	G3	folio = discourse unit is NOT assumed	103 ZL3b leaves / 102 IT2a leaves (fRos foldout carries no separate verso side in this count)
SECTION	SECTION	IVTFF $I illustration-type code, labeled: Herbal, Biological, Cosmological, Pharmaceutical, Stars, Zodiac, Astronomical, Text	internal/metadatavalidation Variables["I"]	G3	section = topic is NOT assumed	Per-page ($I is recorded per recto/verso side, not per leaf); a FOLIO's SECTION in the split is the token-count-weighted dominant value across its sides
CURRIER	CURRIER	IVTFF $L language code (A/B): the two-valued "Currier's Language" field	internal/metadatavalidation Variables["L"]	G3	currier = grammatical dialect is NOT assumed	NOT internal/metadatavalidation.TokenMetadata's own "Currier" field, which reads $C (a distinct hand-numbering variable) - task65's documented correction (research/phase1/local-regime-topology-analyze/main.go), reused verbatim by task85-analyze; task85 mandates $L throughout Line A
