mechanism_id	policy	corpus	scale	replicate	metric_id	family	mechanism_projection_value	available	evidence_type	target_comparison	reason
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	Doyle	LARGE	0	2DL1_LAYOUT_POSITION_MI	2D-LITE	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	Doyle	LARGE	0	BP1_BOUNDARY_TOKEN_NMI	boundary	0.857143	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	Doyle	LARGE	0	LS1_LINE_LENGTH_CV	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	Doyle	LARGE	0	LS2_POSITIONAL_LEXICON_NMI	line	1.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	Doyle	LARGE	0	LS3_BOUNDARY_LENGTH_ASYMMETRY	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	Doyle	LARGE	0	LS4_WITHIN_LINE_EXACT_REPETITION	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	Doyle	LARGE	0	cs1/family-line-position	cross-scale	NA	false	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	Doyle	LARGE	0	cs6/family-diversity-x-line-length	cross-scale	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	Doyle	LARGE	0	cs7/edit-distance-x-structural-distance	cross-scale	NA	false	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
f08_serpens_core	LITERAL_RESET_V1	Doyle	LARGE	1	2DL1_LAYOUT_POSITION_MI	2D-LITE	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
f08_serpens_core	LITERAL_RESET_V1	Doyle	LARGE	1	BP1_BOUNDARY_TOKEN_NMI	boundary	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
f08_serpens_core	LITERAL_RESET_V1	Doyle	LARGE	1	LS1_LINE_LENGTH_CV	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
f08_serpens_core	LITERAL_RESET_V1	Doyle	LARGE	1	LS2_POSITIONAL_LEXICON_NMI	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
f08_serpens_core	LITERAL_RESET_V1	Doyle	LARGE	1	LS3_BOUNDARY_LENGTH_ASYMMETRY	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
f08_serpens_core	LITERAL_RESET_V1	Doyle	LARGE	1	LS4_WITHIN_LINE_EXACT_REPETITION	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
f08_serpens_core	LITERAL_RESET_V1	Doyle	LARGE	1	cs1/family-line-position	cross-scale	NA	false	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
f08_serpens_core	LITERAL_RESET_V1	Doyle	LARGE	1	cs6/family-diversity-x-line-length	cross-scale	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
f08_serpens_core	LITERAL_RESET_V1	Doyle	LARGE	1	cs7/edit-distance-x-structural-distance	cross-scale	0.001401	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Longfellow	SMALL	0	2DL1_LAYOUT_POSITION_MI	2D-LITE	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Longfellow	SMALL	0	BP1_BOUNDARY_TOKEN_NMI	boundary	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Longfellow	SMALL	0	LS1_LINE_LENGTH_CV	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Longfellow	SMALL	0	LS2_POSITIONAL_LEXICON_NMI	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Longfellow	SMALL	0	LS3_BOUNDARY_LENGTH_ASYMMETRY	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Longfellow	SMALL	0	LS4_WITHIN_LINE_EXACT_REPETITION	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Longfellow	SMALL	0	cs1/family-line-position	cross-scale	NA	false	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Longfellow	SMALL	0	cs6/family-diversity-x-line-length	cross-scale	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Longfellow	SMALL	0	cs7/edit-distance-x-structural-distance	cross-scale	0.366065	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Astafiev	SMALL	1	2DL1_LAYOUT_POSITION_MI	2D-LITE	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Astafiev	SMALL	1	BP1_BOUNDARY_TOKEN_NMI	boundary	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Astafiev	SMALL	1	LS1_LINE_LENGTH_CV	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Astafiev	SMALL	1	LS2_POSITIONAL_LEXICON_NMI	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Astafiev	SMALL	1	LS3_BOUNDARY_LENGTH_ASYMMETRY	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Astafiev	SMALL	1	LS4_WITHIN_LINE_EXACT_REPETITION	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Astafiev	SMALL	1	cs1/family-line-position	cross-scale	NA	false	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Astafiev	SMALL	1	cs6/family-diversity-x-line-length	cross-scale	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	Astafiev	SMALL	1	cs7/edit-distance-x-structural-distance	cross-scale	0.366261	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	Astafiev	LARGE	0	2DL1_LAYOUT_POSITION_MI	2D-LITE	0.000146	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	Astafiev	LARGE	0	BP1_BOUNDARY_TOKEN_NMI	boundary	0.260870	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	Astafiev	LARGE	0	LS1_LINE_LENGTH_CV	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	Astafiev	LARGE	0	LS2_POSITIONAL_LEXICON_NMI	line	0.333333	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	Astafiev	LARGE	0	LS3_BOUNDARY_LENGTH_ASYMMETRY	line	0.003906	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	Astafiev	LARGE	0	LS4_WITHIN_LINE_EXACT_REPETITION	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	Astafiev	LARGE	0	cs1/family-line-position	cross-scale	NA	false	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	Astafiev	LARGE	0	cs6/family-diversity-x-line-length	cross-scale	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	Astafiev	LARGE	0	cs7/edit-distance-x-structural-distance	cross-scale	0.191927	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	Doyle	SMALL	0	2DL1_LAYOUT_POSITION_MI	2D-LITE	0.000476	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	Doyle	SMALL	0	BP1_BOUNDARY_TOKEN_NMI	boundary	0.315789	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	Doyle	SMALL	0	LS1_LINE_LENGTH_CV	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	Doyle	SMALL	0	LS2_POSITIONAL_LEXICON_NMI	line	0.400000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	Doyle	SMALL	0	LS3_BOUNDARY_LENGTH_ASYMMETRY	line	0.015625	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	Doyle	SMALL	0	LS4_WITHIN_LINE_EXACT_REPETITION	line	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	Doyle	SMALL	0	cs1/family-line-position	cross-scale	NA	false	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	Doyle	SMALL	0	cs6/family-diversity-x-line-length	cross-scale	0.000000	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	Doyle	SMALL	0	cs7/edit-distance-x-structural-distance	cross-scale	0.439901	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	Doyle	MEDIUM	1	2DL1_LAYOUT_POSITION_MI	2D-LITE	0.000273	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	Doyle	MEDIUM	1	BP1_BOUNDARY_TOKEN_NMI	boundary	0.285714	true	PROJECTION_EVIDENCE	NOT_NUMERICALLY_COMPARED	assembler-line semantics differ from physical manuscript lines
