source_id	natural_language_controls	cipher_controls	generated_text_controls	shuffle_null	matched_null	synthetic_positive_control	negative_control	cross_language_control	control_adequacy	assessment
LANDINI2001	limited	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	WEAK	Full text unavailable; no stronger rating is warranted
REDDY_KNIGHT2011	YES	discussed/limited	NOT_REPORTED	limited	NOT_REPORTED	limited	limited	YES	PARTIAL	Compatibility comparisons do not span all three hypothesis classes
MONTEMURRO_ZANETTE2013	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	YES	NOT_REPORTED	NOT_REPORTED	YES	NOT_REPORTED	WEAK	Random/shuffle tests establish non-randomness, not message presence
SCHINNER2007	limited	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	limited	NOT_REPORTED	WEAK	Full detailed audit unavailable
TIMM_SCHINNER2019	limited	NOT_REPORTED	YES	limited	NOT_REPORTED	YES	limited	NOT_REPORTED	PARTIAL	Generator is a positive model but selected-property tuning/full held-out comparison remain unresolved
LINDEMANN_BOWERN2021	YES	limited	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	YES	PARTIAL	Entropy comparison is broad but transcription and generator controls are incomplete
STERNECK_POLISH_BOWERN2021	limited	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	WEAK	No generator, hand, Currier, or local-adjacency control establishes semantics
BOWERN_GASKELL2022	YES	YES	limited	NOT_REPORTED	limited	YES	YES	limited	PARTIAL	Cipher compatibility tested; three-class discrimination incomplete
GRESHKO2025	YES	YES	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	YES	limited	YES	PARTIAL	Known plaintext is a strong positive control; full text was unavailable for detailed coverage
ROZANOVA_TEMEREV2026	YES	YES	YES	YES	YES	YES	YES	YES	ADEQUATE	Best available direct unit-level comparative design; it still cannot cover all mechanism variants
PARISEL2026	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	NOT_REPORTED	YES	NOT_REPORTED	NOT_REPORTED	PARTIAL	Appropriate for A/B recoverability, not causal mechanism selection
