job_id	language	scale	replicate	model	latent_adequacy	basis
j-0024f9af1c5807209dfc	Latin	SMALL	3	M0	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-0024f9af1c5807209dfc	Latin	SMALL	3	M1	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-0024f9af1c5807209dfc	Latin	SMALL	3	M2	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-0024f9af1c5807209dfc	Latin	SMALL	3	M3	NOT_SUPPORTED	training/model-evidence failure
j-0024f9af1c5807209dfc	Latin	SMALL	3	M4	NOT_SUPPORTED	training/model-evidence failure
j-0024f9af1c5807209dfc	Latin	SMALL	3	M5	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-01d4ab1f26075c2f7425	English	LARGE	2	M0	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-01d4ab1f26075c2f7425	English	LARGE	2	M1	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-01d4ab1f26075c2f7425	English	LARGE	2	M2	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-01d4ab1f26075c2f7425	English	LARGE	2	M3	NOT_SUPPORTED	training/model-evidence failure
j-01d4ab1f26075c2f7425	English	LARGE	2	M4	NOT_SUPPORTED	training/model-evidence failure
j-01d4ab1f26075c2f7425	English	LARGE	2	M5	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-057ab57a9944883fa101	Latin	VOYNICH_SCALE	1	M0	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-057ab57a9944883fa101	Latin	VOYNICH_SCALE	1	M1	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-057ab57a9944883fa101	Latin	VOYNICH_SCALE	1	M2	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-057ab57a9944883fa101	Latin	VOYNICH_SCALE	1	M3	NOT_SUPPORTED	training/model-evidence failure
j-057ab57a9944883fa101	Latin	VOYNICH_SCALE	1	M4	NOT_SUPPORTED	training/model-evidence failure
j-057ab57a9944883fa101	Latin	VOYNICH_SCALE	1	M5	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-06fd18612fea6c153886	Sanskrit	MEDIUM	6	M0	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-06fd18612fea6c153886	Sanskrit	MEDIUM	6	M1	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-06fd18612fea6c153886	Sanskrit	MEDIUM	6	M2	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-06fd18612fea6c153886	Sanskrit	MEDIUM	6	M3	NOT_SUPPORTED	training/model-evidence failure
j-06fd18612fea6c153886	Sanskrit	MEDIUM	6	M4	NOT_SUPPORTED	training/model-evidence failure
j-06fd18612fea6c153886	Sanskrit	MEDIUM	6	M5	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-077d167ca6c8ea9d86da	Sanskrit	LARGE	0	M0	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-077d167ca6c8ea9d86da	Sanskrit	LARGE	0	M1	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-077d167ca6c8ea9d86da	Sanskrit	LARGE	0	M2	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-077d167ca6c8ea9d86da	Sanskrit	LARGE	0	M3	NOT_SUPPORTED	training/model-evidence failure
j-077d167ca6c8ea9d86da	Sanskrit	LARGE	0	M4	NOT_SUPPORTED	training/model-evidence failure
j-077d167ca6c8ea9d86da	Sanskrit	LARGE	0	M5	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-092a7b0c1abcfdcbbb88	Sanskrit	VOYNICH_SCALE	6	M0	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-092a7b0c1abcfdcbbb88	Sanskrit	VOYNICH_SCALE	6	M1	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-092a7b0c1abcfdcbbb88	Sanskrit	VOYNICH_SCALE	6	M2	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-092a7b0c1abcfdcbbb88	Sanskrit	VOYNICH_SCALE	6	M3	NOT_SUPPORTED	training/model-evidence failure
j-092a7b0c1abcfdcbbb88	Sanskrit	VOYNICH_SCALE	6	M4	NOT_SUPPORTED	training/model-evidence failure
j-092a7b0c1abcfdcbbb88	Sanskrit	VOYNICH_SCALE	6	M5	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-09dd602f4d4f0826c4de	Sanskrit	MEDIUM	0	M0	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-09dd602f4d4f0826c4de	Sanskrit	MEDIUM	0	M1	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-09dd602f4d4f0826c4de	Sanskrit	MEDIUM	0	M2	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-09dd602f4d4f0826c4de	Sanskrit	MEDIUM	0	M3	NOT_SUPPORTED	training/model-evidence failure
j-09dd602f4d4f0826c4de	Sanskrit	MEDIUM	0	M4	NOT_SUPPORTED	training/model-evidence failure
j-09dd602f4d4f0826c4de	Sanskrit	MEDIUM	0	M5	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-0d452011cf538cf9106c	Sanskrit	MEDIUM	7	M0	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-0d452011cf538cf9106c	Sanskrit	MEDIUM	7	M1	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-0d452011cf538cf9106c	Sanskrit	MEDIUM	7	M2	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-0d452011cf538cf9106c	Sanskrit	MEDIUM	7	M3	NOT_SUPPORTED	training/model-evidence failure
j-0d452011cf538cf9106c	Sanskrit	MEDIUM	7	M4	NOT_SUPPORTED	training/model-evidence failure
j-0d452011cf538cf9106c	Sanskrit	MEDIUM	7	M5	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-109269e463a31e656fb2	Latin	LARGE	2	M0	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-109269e463a31e656fb2	Latin	LARGE	2	M1	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-109269e463a31e656fb2	Latin	LARGE	2	M2	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-109269e463a31e656fb2	Latin	LARGE	2	M3	NOT_SUPPORTED	training/model-evidence failure
j-109269e463a31e656fb2	Latin	LARGE	2	M4	NOT_SUPPORTED	training/model-evidence failure
j-109269e463a31e656fb2	Latin	LARGE	2	M5	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-1d6c4f58ab8ed5003e6a	Sanskrit	LARGE	6	M0	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-1d6c4f58ab8ed5003e6a	Sanskrit	LARGE	6	M1	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-1d6c4f58ab8ed5003e6a	Sanskrit	LARGE	6	M2	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-1d6c4f58ab8ed5003e6a	Sanskrit	LARGE	6	M3	NOT_SUPPORTED	training/model-evidence failure
j-1d6c4f58ab8ed5003e6a	Sanskrit	LARGE	6	M4	NOT_SUPPORTED	training/model-evidence failure
j-1d6c4f58ab8ed5003e6a	Sanskrit	LARGE	6	M5	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-1ed28b5a8b4a1af1a6d6	Sanskrit	SMALL	7	M0	NOT_SUPPORTED	training/model-evidence failure
j-1ed28b5a8b4a1af1a6d6	Sanskrit	SMALL	7	M1	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-1ed28b5a8b4a1af1a6d6	Sanskrit	SMALL	7	M2	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-1ed28b5a8b4a1af1a6d6	Sanskrit	SMALL	7	M3	NOT_SUPPORTED	training/model-evidence failure
j-1ed28b5a8b4a1af1a6d6	Sanskrit	SMALL	7	M4	NOT_SUPPORTED	training/model-evidence failure
j-1ed28b5a8b4a1af1a6d6	Sanskrit	SMALL	7	M5	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-2368c0dd2e8530e6b854	Sanskrit	MEDIUM	1	M0	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-2368c0dd2e8530e6b854	Sanskrit	MEDIUM	1	M1	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-2368c0dd2e8530e6b854	Sanskrit	MEDIUM	1	M2	NOT_ASSESSABLE	individual predictive/structural families not recorded
j-2368c0dd2e8530e6b854	Sanskrit	MEDIUM	1	M3	NOT_SUPPORTED	training/model-evidence failure
