language	scale	job_id	adequate_models	minimal_class	PM6_available
Latin	SMALL	j-0024f9af1c5807209dfc		NONE	true
English	LARGE	j-01d4ab1f26075c2f7425		NONE	false
Latin	VOYNICH_SCALE	j-057ab57a9944883fa101		NONE	false
Sanskrit	MEDIUM	j-06fd18612fea6c153886		NONE	true
Sanskrit	LARGE	j-077d167ca6c8ea9d86da		NONE	false
Sanskrit	VOYNICH_SCALE	j-092a7b0c1abcfdcbbb88		NONE	false
Sanskrit	MEDIUM	j-09dd602f4d4f0826c4de		NONE	true
Sanskrit	MEDIUM	j-0d452011cf538cf9106c		NONE	true
Latin	LARGE	j-109269e463a31e656fb2		NONE	false
Sanskrit	LARGE	j-1d6c4f58ab8ed5003e6a		NONE	false
Sanskrit	SMALL	j-1ed28b5a8b4a1af1a6d6		NONE	true
Sanskrit	MEDIUM	j-2368c0dd2e8530e6b854		NONE	true
English	LARGE	j-2dbf95f111305bd65567		NONE	false
Latin	LARGE	j-3256271c7ea4dbfa7b32		NONE	false
English	MEDIUM	j-32a0d678f36dc547ac34		NONE	false
Latin	MEDIUM	j-352d4280c0319c2c9e2e		NONE	true
Latin	VOYNICH_SCALE	j-3572cc64f8d5877c5516		NONE	false
Sanskrit	LARGE	j-357ca097a0fd36a0fdfd		NONE	false
Latin	SMALL	j-37a5230154cfefebccc2		NONE	true
Sanskrit	SMALL	j-3a01061f073e603e8886		NONE	true
English	VOYNICH_SCALE	j-3a80e39c230186e8c461		NONE	false
Sanskrit	SMALL	j-3c68811ae3bb9f97a654		NONE	false
Latin	LARGE	j-3efd415c26e7d44828bf		NONE	false
Latin	VOYNICH_SCALE	j-418bb4af67ae34e794c8		NONE	false
Latin	LARGE	j-420a11078553b2e70758		NONE	false
English	LARGE	j-422ddb172c61690a3e3d		NONE	false
Sanskrit	LARGE	j-4473e42aef93306e100e		NONE	false
Latin	LARGE	j-47d0009828de985b5be0		NONE	false
Latin	SMALL	j-4af6608b6cf1e1350689		NONE	false
Latin	MEDIUM	j-4ee4b58fed9dc5afca89		NONE	true
Latin	MEDIUM	j-54839ad13a10cad50f4c		NONE	true
Latin	SMALL	j-5638afec55303908530c		NONE	true
English	VOYNICH_SCALE	j-5a524f2cd1de203db65c		NONE	false
English	MEDIUM	j-5a7000c2bcfc16f360ba		NONE	false
English	MEDIUM	j-5ddfc760705224b3249a		NONE	false
Sanskrit	LARGE	j-5e2cf1f5c8b32e15e98b		NONE	false
Sanskrit	LARGE	j-634aff3863b77e4b1ee6		NONE	false
Sanskrit	VOYNICH_SCALE	j-66bd58c5e7a84584e253		NONE	false
Sanskrit	MEDIUM	j-687b92448321c607a1f0		NONE	true
English	LARGE	j-6d447642ff6e702ba24b		NONE	false
Sanskrit	VOYNICH_SCALE	j-71eadd7108e9404d8fa4		NONE	false
Latin	VOYNICH_SCALE	j-72cc1715a8b55d466bec		NONE	false
Latin	SMALL	j-733e795d07911a2553eb		NONE	false
Sanskrit	SMALL	j-7485eee84d43908fc803		NONE	false
Latin	VOYNICH_SCALE	j-75048cf10dde52fb029e		NONE	false
Latin	MEDIUM	j-752ee4acb2f11c1d7f1a		NONE	true
Sanskrit	SMALL	j-77a7236a584ac173ac59		NONE	true
English	LARGE	j-7b35cbc64cfa58a8b802		NONE	false
Latin	MEDIUM	j-7da03c5366574df7a2eb		NONE	false
English	SMALL	j-7df4af8158152364d533		NONE	false
English	MEDIUM	j-7f36340899239906e828		NONE	false
Sanskrit	VOYNICH_SCALE	j-801e0a1f44b2ce3a211b		NONE	false
English	SMALL	j-8ad61c152e4d1f00dee9		NONE	false
Latin	SMALL	j-8e275dd9adf3572f5b92		NONE	true
Latin	VOYNICH_SCALE	j-8e53c142e698ac4dd00a		NONE	false
English	SMALL	j-9035d8756f177f3dba1d		NONE	false
English	MEDIUM	j-92d9a99ec699677ee9cc		NONE	false
Sanskrit	SMALL	j-94f9c04538b4dae91716		NONE	false
English	MEDIUM	j-9531d85006c1a7705df8		NONE	false
English	VOYNICH_SCALE	j-968b89d862abb40a1321		NONE	false
Sanskrit	VOYNICH_SCALE	j-9864f9d42b3b0a549718		NONE	false
English	MEDIUM	j-9ecaef2adf7f4a7bf037		NONE	false
Latin	SMALL	j-a6944da93c436647ddad		NONE	true
Latin	VOYNICH_SCALE	j-a8ddf4ccf16babf557e1		NONE	false
English	MEDIUM	j-a8fdf658ea71c3410ecd		NONE	false
English	LARGE	j-aabc845ba9eaed40b06a		NONE	false
Sanskrit	MEDIUM	j-ab0938adbc46d6a51233		NONE	true
English	LARGE	j-acdbd503d22cc962cc38		NONE	false
English	SMALL	j-af3ea0bd2fa9712838d7		NONE	false
Sanskrit	VOYNICH_SCALE	j-b134e1cc89d045098806		NONE	false
Latin	VOYNICH_SCALE	j-b4a914359d1051804a29		NONE	false
Latin	MEDIUM	j-b57014c253b5d32462c4		NONE	true
Latin	LARGE	j-b6c1d7a8bf5f446ad8f9		NONE	false
Sanskrit	SMALL	j-b6ce26abdbcb40ebec77		NONE	false
English	SMALL	j-b844230250b02be1e82a		NONE	true
English	LARGE	j-bc050fde6d1b2925395f		NONE	false
Latin	LARGE	j-c32535427c548ecfb4b5		NONE	false
English	VOYNICH_SCALE	j-c7808862b2cd25a76f5c		NONE	false
English	SMALL	j-cac9cc2f802560c0977b		NONE	false
English	VOYNICH_SCALE	j-d1450dded5db55b16ea6		NONE	false
Latin	SMALL	j-d585da3ed680f0d45416		NONE	false
Sanskrit	LARGE	j-d9be425d0a82666b4327		NONE	false
Sanskrit	SMALL	j-dd2d768a03bf20a17f9c		NONE	true
English	SMALL	j-e0933c74995f93f13b1d		NONE	false
Sanskrit	MEDIUM	j-e40f4d0155575ac0885c		NONE	false
Latin	LARGE	j-e5476e5362ba4e5871a6		NONE	false
English	VOYNICH_SCALE	j-e67a1d9c3dc134b5a66a		NONE	false
Sanskrit	MEDIUM	j-e7f0e4a19273d29863eb		NONE	true
English	VOYNICH_SCALE	j-eab7742a0d779c235859		NONE	false
Sanskrit	VOYNICH_SCALE	j-eac8d9d6efa606e6666c		NONE	false
Latin	MEDIUM	j-ee8b2fab4bf7dd616587		NONE	true
English	SMALL	j-f533e6f0c72c6d58e9ba		NONE	false
Sanskrit	LARGE	j-f6c594a0679a4315f14a		NONE	false
English	VOYNICH_SCALE	j-f87ddef84aaf7c7913b2		NONE	false
Latin	MEDIUM	j-fba8cfdc64c43f56150e		NONE	true
Sanskrit	VOYNICH_SCALE	j-fde9e32870234ff49a8d		NONE	false
