sequence	n	canonical_occurrences	eligible_occurrences	physical_blocks	joint_classes	currier_classes	hands	max_block_fraction	block_entropy_bits	classification	token_validity	canonical_token_occurrences	contains_question	contains_at	contains_other_nonstandard_marker	absent_tokens
x001068 x028397	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	204,394	false	false	true	
x001069 x013872	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	196,199	false	false	true	
x001069 x028393	2	4	4	3	2	2	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	196,409	false	false	true	
x001070 x013875	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	191,226	false	false	true	
x001071 x013872	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	220,199	false	false	true	
x001071 x013875	2	7	7	7	3	3	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	220,226	false	false	true	
x001071 x013876	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	220,201	false	false	true	
x001071 x013877	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	220,196	false	false	true	
x001071 x028392	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	220,363	false	false	true	
x001072 x013876	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	195,201	false	false	true	
x001072 x028396	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	195,375	false	false	true	
x001752 x028392	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	58,363	false	false	true	
x001752 x028394	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	58,402	false	false	true	
x001753 x028392	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	64,363	false	false	true	
x001753 x028395	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	64,382	false	false	true	
x001754 x028393	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	53,409	false	false	true	
x001755 x028394	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	60,402	false	false	true	
x001755 x028397	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	60,394	false	false	true	
x001756 x028392	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	60,363	false	false	true	
x001756 x028393	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	60,409	false	false	true	
x001756 x028397	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	60,394	false	false	true	
x003804 x013874	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	41,210	false	false	true	
x003807 x013877	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	59,196	false	false	true	
x003829 x028396	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	20,375	false	false	true	
x003833 x028397	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	32,394	false	false	true	
x004003 x017943	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	6,20	false	false	true	
x011119 x028397	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	46,394	false	false	true	
