opaque_id	implementation	variant	definition	theoretical_minimal_class	status
s-9cd898e03523	INDEPENDENT	1	single-glyph IID categorical; p=[.28,.20,.16,.12,.09,.07,.05,.03]; variant=1 alphabet rotation	M0	FROZEN
s-aab291e34c5e	INDEPENDENT	2	single-glyph IID categorical; p=[.28,.20,.16,.12,.09,.07,.05,.03]; variant=2 alphabet rotation	M0	FROZEN
s-09791ffb8ffa	INDEPENDENT	3	single-glyph IID categorical; p=[.28,.20,.16,.12,.09,.07,.05,.03]; variant=3 alphabet rotation	M0	FROZEN
s-2af7a06b0667	INDEPENDENT	1	fixed first-order four-state Markov; diagonal=.60-.64; length U[3,8]	M1	FROZEN
s-3b27442e22a6	INDEPENDENT	2	fixed first-order four-state Markov; diagonal=.60-.64; length U[3,9]	M1	FROZEN
s-1d31695c4e69	INDEPENDENT	3	fixed first-order four-state Markov; diagonal=.60-.64; length U[3,10]	M1	FROZEN
s-f4054cfa9ec9	INDEPENDENT	1	explicit variable context tree: depth-2 aa-like context and depth-1 d-like context; variant=1	M2	FROZEN
s-5a165cc265b7	INDEPENDENT	2	explicit variable context tree: depth-2 aa-like context and depth-1 d-like context; variant=2	M2	FROZEN
s-e98255971d80	INDEPENDENT	3	explicit variable context tree: depth-2 aa-like context and depth-1 d-like context; variant=3	M2	FROZEN
s-e2cc3e1401d3	INDEPENDENT	1	manual deterministic labelled five-state FSA; one edge draw determines label and fixed successor; variant=1	M3	FROZEN
s-c13a20c1b1a6	INDEPENDENT	2	manual deterministic labelled five-state FSA; one edge draw determines label and fixed successor; variant=2	M3	FROZEN
s-614cdbd81cbf	INDEPENDENT	3	manual deterministic labelled five-state FSA; one edge draw determines label and fixed successor; variant=3	M3	FROZEN
s-8f8dc60ab0b4	INDEPENDENT	1	manual probabilistic four-state FSA; frozen transition probabilities and terminal p=.72; variant=1	M4	FROZEN
s-47b9317c1ee7	INDEPENDENT	2	manual probabilistic four-state FSA; frozen transition probabilities and terminal p=.72; variant=2	M4	FROZEN
s-4a57d700bac6	INDEPENDENT	3	manual probabilistic four-state FSA; frozen transition probabilities and terminal p=.72; variant=3	M4	FROZEN
s-7991a2a78396	INDEPENDENT	1	productive 3-prefix x 4-core x 3-suffix slot grammar with optional second core; variant=1	M5	FROZEN
s-665090602867	INDEPENDENT	2	productive 3-prefix x 4-core x 3-suffix slot grammar with optional second core; variant=2	M5	FROZEN
s-b64b9d917e62	INDEPENDENT	3	productive 3-prefix x 4-core x 3-suffix slot grammar with optional second core; variant=3	M5	FROZEN
