evidence_type	permitted_statuses	forbidden_statuses	scientific_meaning	normative_source
fit	FIT_SUCCESS	PASS;FAIL;NOT_ASSESSABLE;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	successful procedure record; status is not a gate verdict	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
fitted_model	FIT_SUCCESS	PASS;FAIL;NOT_ASSESSABLE;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	successful procedure record; status is not a gate verdict	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
predictive_metric	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	scientific gate/assessability record	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
predictive_gate	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	scientific gate/assessability record	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
predictive_verdict	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	scientific gate/assessability record	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
generation	GENERATION_SUCCESS	PASS;FAIL;NOT_ASSESSABLE;FIT_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	successful procedure record; status is not a gate verdict	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
f2_metric	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	scientific gate/assessability record	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
structural_family	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	scientific gate/assessability record	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
structural_gate	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	scientific gate/assessability record	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
structural_verdict	PASS;FAIL;NOT_ASSESSABLE	FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	scientific gate/assessability record	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
complexity	COMPLEXITY_SUCCESS	PASS;FAIL;NOT_ASSESSABLE;FIT_SUCCESS;GENERATION_SUCCESS;AGGREGATION_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	successful procedure record; status is not a gate verdict	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
minimality	AGGREGATION_SUCCESS	PASS;FAIL;NOT_ASSESSABLE;FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	successful procedure record; status is not a gate verdict	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
final_verdict	AGGREGATION_SUCCESS	PASS;FAIL;NOT_ASSESSABLE;FIT_SUCCESS;GENERATION_SUCCESS;COMPLEXITY_SUCCESS;FIT_FAILURE;NUMERICAL_FAILURE;INDUCTION_CAP;GENERATION_FAILURE;PROTOCOL_VETO;NOT_REACHED	successful procedure record; status is not a gate verdict	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
