model_id	split	label	object_class	page	token	object_id	source_forms	source_unit_sequences	canonical_assignment	in_any_maximum_assignment
M1_001	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_IUPITER	iovis;jovis	i+v;i+v	1	1
M1_001	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_VENUS	lucifer	l+c+f	1	1
M1_001	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_LUNA	luna;lunae	l+n;l+n	1	1
M1_001	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_VEGA	al-wāki‘	u+k	1	1
M1_001	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_ALTAIR	al-tair	t+r	1	1
M1_001	TRAIN	f68r1.S.24	STAR	f68r1	otydy	STAR_SPICA	al-a‘zal	a+z+l	1	1
M1_001	TRAIN	f68r1.S.9	STAR	f68r1	ofcheor	STAR_CAPH	kaff al-khadīb	h+d+b	1	1
M1_001	TRAIN	f68r2.S.1	STAR	f68r2	cheorol	STAR_ALDEBARAN	al-dabarān	d+b+r	1	1
M1_001	TRAIN	f68r2.S.20	STAR	f68r2	opocphor	STAR_PROCYON	al-sha‘āmiya	s+m+y	1	1
M1_001	TRAIN	f68r2.S.21	STAR	f68r2	otoshol	STAR_ANTARES	qalb al-‘aqrab	a+q+r	1	1
M1_002	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_IUPITER	jovis	j+v	1	1
M1_002	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_VENUS	lucifer	l+c+f	1	1
M1_002	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_LUNA	luna;lunae	l+n;l+n	1	1
M1_002	TRAIN	f68r1.S.1	STAR	f68r1	chocfhy	STAR_VEGA	al-wāki‘	w+k	1	1
M1_002	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_ALTAIR	al-tair	t+r	1	1
M1_002	TRAIN	f68r1.S.9	STAR	f68r1	ofcheor	STAR_CAPH	kaff al-khadīb	kh+d+b	1	1
M1_002	TRAIN	f68r2.S.1	STAR	f68r2	cheorol	STAR_ALDEBARAN	al-dabarān	d+b+r	1	1
M1_002	TRAIN	f68r2.S.20	STAR	f68r2	opocphor	STAR_PROCYON	al-sha‘āmiya	sh+m+y	1	1
M1_002	TRAIN	f68r2.S.21	STAR	f68r2	otoshol	STAR_ANTARES	qalb al-‘aqrab	a+q+r	1	1
M1_002	TRAIN	f68r3.X.11	STAR	f68r3	okchody	STAR_BETELGEUSE	yad al-jawzā	j+w+z	1	1
M1_002	TRAIN	f68r3.X.11	STAR	f68r3	okchody	STAR_RIGEL	rijl al-jawzā	j+w+z	0	1
M1_003	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_IUPITER	iovis;jovis	i+v;i+v	1	1
M1_003	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_VENUS	lucifer	l+c+f	1	1
M1_003	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_LUNA	luna;lunae	l+n;l+n	1	1
M1_003	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_ALTAIR	al-tair	t+r	1	1
M1_003	TRAIN	f68r1.S.24	STAR	f68r1	otydy	STAR_SPICA	al-a‘zal	a+z+l	1	1
M1_003	TRAIN	f68r1.S.26	STAR	f68r1	otys	STAR_VEGA	al-wāki‘	u+k	1	1
M1_003	TRAIN	f68r1.S.9	STAR	f68r1	ofcheor	STAR_CAPH	kaff al-khadīb	h+d+b	1	1
M1_003	TRAIN	f68r2.S.1	STAR	f68r2	cheorol	STAR_ALDEBARAN	al-dabarān	d+b+r	1	1
M1_003	TRAIN	f68r2.S.20	STAR	f68r2	opocphor	STAR_PROCYON	al-sha‘āmiya	s+m+y	1	1
M1_003	TRAIN	f68r2.S.21	STAR	f68r2	otoshol	STAR_ANTARES	qalb al-‘aqrab	a+q+r	1	1
M1_004	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	okal	PLANET_IUPITER	iovis;jovis	i+v;i+v	1	1
M1_004	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	ytoaiin	PLANET_VENUS	lucifer	l+c+f	1	1
M1_004	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	yfain	PLANET_LUNA	luna;lunae	l+n;l+n	1	1
M1_004	TRAIN	f68r1.S.21	STAR	f68r1	otol	STAR_ALTAIR	al-tair	t+r	1	1
M1_004	TRAIN	f68r1.S.22	STAR	f68r1	otor	STAR_VEGA	al-wāki‘	u+k	1	1
M1_004	TRAIN	f68r1.S.24	STAR	f68r1	otydy	STAR_SPICA	al-a‘zal	a+z+l	1	1
