claim_id	report_section	claim	source_task	source_artifact	evidence_type	status
C001	3	Phase I established strong multiscale symbolic structure but selected no broad generating class	Phase I	docs/phase1/PHASE1_RESEARCH_REPORT.md	synthesis	OBSERVED
C002	3	Phase I did not establish intrinsic VM information loss or a plaintext	Phase I	docs/phase1/PHASE1_RESEARCH_REPORT.md	scope boundary	NOT_ESTABLISHED
C003	5	Fingerprint V1 had major lexical-paradigm cross-scale hierarchy and 2D/page gaps	Task73	research/phase2/fingerprint/TASK73_REPORT.md	coverage audit	OBSERVED
C004	5	The edit-rule network is reproducible but aggregate concentration does not exceed C-GRAMMAR	Task77	research/phase2/fingerprint/TASK77_REPORT.md	grammar-bounded null	NOT_SUPPORTED for excess-paradigm claim
C005	5	Task79 measured line boundary locus folio and hierarchy structure but did not freeze F2	Task79	research/phase2/fingerprint/TASK79_REPORT.md	permutation/bootstrap analysis	OBSERVED
C006	5	All 13 CORE metric conclusions are stable or direction-stable across ZL3b and IT2a	Task83b	research/phase2/task83b/TASK83B_REPORT.md	transcription validation	SUPPORTED
C007	6	Fontana source study classifies external-memory interpretation as partial	Task74	research/phase2/fontana/TASK74_REPORT.md	historical source study	COMPATIBLE
C008	6	Fontana authorship or influence on VM is not established	Task74	research/phase2/fontana/TASK74_REPORT.md	scope boundary	NOT_TESTED
C009	8	F01 recovered 24/24 intact full-knowledge messages	Task76	research/phase2/fontana/f01_speculum/TASK76_REPORT.md	operational reconstruction	OBSERVED
C010	8	F01 recovered 0/170 cases when damage affected a used ring	Task76	research/phase2/fontana/f01_speculum/TASK76_REPORT.md	corruption experiment	OBSERVED
C011	8	Fontana operational families are heterogeneous and have no universal encoder/retrieval relation	Task78/80	research/phase2/fontana/task80/TASK80_REPORT.md	typed operation algebra	SUPPORTED
C012	8	Task81 froze 672 target-blind jobs	Task81	research/phase2/mechanism-space/TASK81_REPORT.md	frozen design inventory	OBSERVED
C013	8	Task82 completed all 672 jobs and separated recovery/knowledge/collision behavior	Task82	research/phase2/task82/TASK82_REPORT.md	blind mechanism experiment	SUPPORTED
C014	8	Task82a scaled 16 mechanisms and created no physical-page hierarchy	Task82a	research/phase2/task82a/TASK82A_REPORT.md	blind corpus-scale generation	SUPPORTED
C015	8/12	Maximum direct model/target coverage is 3/13 CORE in one family	Task82a.1/83r	research/phase2/task82a1/TASK82A1_REPORT.md; research/phase2/task83r/COVERAGE_ACCOUNTING.tsv	coverage audit	OBSERVED
C016	9	BDD provides 7150 paired abbr/expan units from one tradition	Task82b	research/phase2/task82b/TASK82B_REPORT.md	paired historical corpus extraction	OBSERVED
C017	9	Task82b froze 20 extraction operators across four classes	Task82b	research/phase2/task82b/EXTRACTION_OPERATOR_REGISTRY.tsv	frozen portfolio	OBSERVED
C018	9/11	AX did not pass validation and cannot affect confirmatory verdicts	Task82b/83r	research/phase2/task82b/TASK82B_REPORT.md; research/phase2/task83r/TASK83R_REPORT.md	validation gate	NOT_SUPPORTED
C019	10	Task83 was invalidated by IT2a checksum inconsistency and incomplete pre-opening transitive audit	Task83	research/phase2/task83/TASK83_INVALIDATION_REPORT.md	integrity audit	INVALID
C020	10	Old manifest expected 3fb953 while prepared/embedded IT2a used 10286e	Task83/83a	research/phase2/task83a/TASK83A_REPORT.md	provenance investigation	OBSERVED
C021	10	Historical Go-map traversal affected Monte Carlo/reduction determinism	Task83a	research/phase2/task83a/TASK83A_REPORT.md	reproducibility investigation	OBSERVED
C022	10	RUN_A/B/C produced 75 byte-identical normative files	Task83b	research/phase2/task83b/TASK83B_REPORT.md	deterministic reconstruction	SUPPORTED
C023	10	Ten of 66 metric rows changed but all 13 CORE statuses remained unchanged	Task83b	research/phase2/task83b/TASK83B_REPORT.md	effect audit	OBSERVED
C024	10	Task83r used no quarantined Task83 comparison evidence	Task83r	research/phase2/task83r/TASK83R_REPORT.md	input/provenance audit	SUPPORTED
C025	11	Natural endpoint distance is 0.674952/0.683933	Task83r	research/phase2/task83r/TASK83R_REPORT.md	confirmatory descriptive endpoint	OBSERVED
C026	11	Shorthand endpoint distance is 0.921503/0.930485	Task83r	research/phase2/task83r/SHORTHAND_EVIDENCE.tsv	confirmatory descriptive endpoint	OBSERVED
C027	11	Simple-null endpoint distance is 1.110219/1.102676	Task83r	research/phase2/task83r/TASK83R_REPORT.md	confirmatory descriptive endpoint	OBSERVED
C028	11	Fontana endpoint distance is 1.247039/1.239497	Task83r	research/phase2/task83r/EXTERNAL_MEMORY_EVIDENCE.tsv	confirmatory descriptive endpoint	OBSERVED
C029	11	Extraction endpoint distance is 1.237889/1.246870	Task83r	research/phase2/task83r/TASK83R_REPORT.md	confirmatory descriptive endpoint	OBSERVED
C030	11	Natural text is PARTIAL and descriptively closest but not identified	Task83r	research/phase2/task83r/TASK83R_REPORT.md	frozen support gate	COMPATIBLE
C031	11	External memory is PARTIAL at LEVEL_1	Task83r	research/phase2/task83r/EXTERNAL_MEMORY_EVIDENCE.tsv	frozen evidence gate	COMPATIBLE
C032	11	BDD shorthand trajectory cosine is 0.279072/0.262481	Task83r	research/phase2/task83r/SHORTHAND_TRAJECTORY_COMPARISON.tsv	trajectory comparison	OBSERVED
C033	11	Matched shorthand deletions align at about 0.99 and minimum p is 0.25	Task83r	research/phase2/task83r/SHORTHAND_NULL_TARGET_COMPARISON.tsv	matched-null comparison	OBSERVED
C034	11	Tested BDD shorthand is DISFAVORED at S0	Task83r	research/phase2/task83r/SHORTHAND_EVIDENCE.tsv	frozen evidence gate	DISFAVORED
C035	11	Extraction maximum directional cosine is about 0.80 and minimum null p is 0.142857	Task83r	research/phase2/task83r/EXTRACTION_TRAJECTORY_COMPARISON.tsv; research/phase2/task83r/EXTRACTION_NULL_TARGET_COMPARISON.tsv	trajectory/matched-null comparison	OBSERVED
C036	11	Selective extraction is PARTIAL at A1 and no hidden channel is detected	Task83r	research/phase2/task83r/EXTRACTION_EVIDENCE.tsv	frozen evidence gate	COMPATIBLE
C037	12	BEST_SUPPORTED_CLASS is INCONCLUSIVE	Task83r	research/phase2/task83r/TASK83R_REPORT.md	identifiability gate	INCONCLUSIVE
C038	12	MECHANISM_IDENTIFICATION_FROM_F2 is NOT_IDENTIFIABLE	Task83r	research/phase2/task83r/TASK83R_REPORT.md	identifiability gate	NOT_IDENTIFIABLE
C039	12	All required pairwise comparisons are NO_CLEAR_ADVANTAGE	Task83r	research/phase2/task83r/HYPOTHESIS_PAIRWISE_ADVANTAGE.tsv	pairwise gate	NOT_IDENTIFIABLE
C040	14	Phase II did not establish language cipher shorthand acrostic hidden channel or meaningless generation	Task83r	research/phase2/task83r/TASK83R_REPORT.md	scope/conclusion	NOT_ESTABLISHED
C041	5	Fingerprint V2.1 contains 13 CORE and 20 supporting metrics	Task79c/83b	research/phase2/fingerprint/TASK79C_REPORT.md; research/phase2/task83b/F2_METRIC_REGISTRY_REFROZEN.tsv	frozen metric registry	OBSERVED
C042	5	Cross-transcription CORE classification is 3 STABLE 10 DIRECTION_STABLE 0 UNSTABLE	Task83b	research/phase2/task83b/TASK83B_REPORT.md	transcription stability audit	SUPPORTED
C043	8	Assembler projections add 4/13 possible CORE metrics but remain separate from direct evidence	Task82a.1	research/phase2/task82a1/TASK82A1_REPORT.md	coverage/provenance audit	OBSERVED
C044	11	Maximum extraction trajectory cosine is 0.803801	Task83r	research/phase2/task83r/EXTRACTION_TRAJECTORY_COMPARISON.tsv	trajectory comparison	OBSERVED
