candidate_id	representation_id	checkpoint	family	status	comparable_metric_count	mean_distance	reason
C01	LATIN-EXPANDED	5000	G	COMPARABLE	5	4.43146553277	
C01	LATIN-EXPANDED	5000	T	COMPARABLE	10	13.3076886615	
C01	LATIN-EXPANDED	5000	S	COMPARABLE	20	29.0532564993	
C01	LATIN-EXPANDED	5000	L	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C01	LATIN-EXPANDED	5000	D	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C01	LATIN-EXPANDED	10000	G	COMPARABLE	5	5.7246890745	
C01	LATIN-EXPANDED	10000	T	COMPARABLE	10	18.4194336724	
C01	LATIN-EXPANDED	10000	S	COMPARABLE	20	19.0475865091	
C01	LATIN-EXPANDED	10000	L	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C01	LATIN-EXPANDED	10000	D	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C01	LATIN-EXPANDED	20000	G	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C01	LATIN-EXPANDED	20000	T	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C01	LATIN-EXPANDED	20000	S	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C01	LATIN-EXPANDED	20000	L	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C01	LATIN-EXPANDED	20000	D	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C01	LATIN-EXPANDED	39380	G	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C01	LATIN-EXPANDED	39380	T	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C01	LATIN-EXPANDED	39380	S	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C01	LATIN-EXPANDED	39380	L	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C01	LATIN-EXPANDED	39380	D	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C02	LATIN-DIPLOMATIC	5000	G	COMPARABLE	5	2.43527447106	
C02	LATIN-DIPLOMATIC	5000	T	COMPARABLE	10	13.815400124	
C02	LATIN-DIPLOMATIC	5000	S	COMPARABLE	20	29.7563897865	
C02	LATIN-DIPLOMATIC	5000	L	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C02	LATIN-DIPLOMATIC	5000	D	NOT_COMPARABLE	0		no mutually comparable scaled metrics
C02	LATIN-DIPLOMATIC	10000	G	COMPARABLE	5	2.87253180929	
C02	LATIN-DIPLOMATIC	10000	T	COMPARABLE	10	19.3896779305	
