area	V1.1	V1.2	classification	status
generation state	implicit	explicit four-state machine	GENERATION_DEFECT_REPAIR	CHANGED
outcome order	conflicting prose/rows	explicit sequence; mapping UTF8; fitted specials appended	GENERATION_EXECUTABILITY_CLARIFICATION	CHANGED
conditional support	ambiguous rejection/condition	filter+normalize; no rejection	GENERATION_DEFECT_REPAIR	CHANGED
binary64 categorical	partial	complete CDF/final-bin rules	GENERATION_NUMERICAL_CLARIFICATION	CHANGED
Generator B	algorithm labels	race/alias/cumulative executable algorithms	GENERATION_EXECUTABILITY_CLARIFICATION	CHANGED
length 64	conflicting	legal structural termination no draw	GENERATION_DEFECT_REPAIR	CHANGED
M5 attempts	partial	0..1023, monotone draws, branch order	GENERATION_EXECUTABILITY_CLARIFICATION	CHANGED
serialization	unspecified	NFC UTF8 LF after every token	GENERATION_SERIALIZATION_FREEZE	CHANGED
contract hashes	V1.1	V1.2 bindings	TRANSITIVE_HASH_CHANGE	CHANGED
candidate/model probabilities	frozen	unchanged	TRANSITIVE_HASH_CHANGE	UNCHANGED
PM/F2/structural/decision/status	frozen	unchanged	TRANSITIVE_HASH_CHANGE	UNCHANGED
