metric_id	family	classification	held_out_applicability_status	generation_validation_status	min_g_level	skeleton_only	reason
2DL1_LAYOUT_POSITION_MI	2D-LITE	CORE	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Needs line-position class (a G3 structural-state variable); the generated TOKEN's own glyph-length is model-dependent, so it discriminates model classes under the borrowed-skeleton generation convention (task85 design section on generation protocol)
BP1_BOUNDARY_TOKEN_NMI	boundary	CORE	DIRECTLY_APPLICABLE_TO_G3	GENERATION_APPLICABLE	G3	FALSE	Boundary class (initial/interior/final) is defined relative to LINE boundary, a G3 variable (task85 section 8); TOKEN identity at that slot is model-chosen, so it discriminates
EF1_GIANT_COMPONENT_SHARE	edit family	CORE	DIRECTLY_APPLICABLE_TO_G1	GENERATION_APPLICABLE	G1	FALSE	Computed from the generated vocabulary's edit graph alone; no context or hierarchy needed
EF1_ISOLATE_SHARE	edit family	SUPPORTING	DIRECTLY_APPLICABLE_TO_G1	GENERATION_APPLICABLE	G1	FALSE	As EF1_GIANT_COMPONENT_SHARE
EF2_GLOBAL_CLUSTERING	edit family	CORE	DIRECTLY_APPLICABLE_TO_G1	GENERATION_APPLICABLE	G1	FALSE	As EF1_GIANT_COMPONENT_SHARE
EF3_DEGREE_FREQUENCY_SPEARMAN	edit family	CORE	DIRECTLY_APPLICABLE_TO_G1	GENERATION_APPLICABLE	G1	FALSE	As EF1_GIANT_COMPONENT_SHARE; this is the one edit-related family with Phase II's primary 3/13 direct coverage
HR1_FOLIO_VARIANCE_SHARE	hierarchy	CORE	DIRECTLY_APPLICABLE_TO_G3	STRUCTURE_REQUIRED	G3	TRUE	Measures between-folio share of LINE-LENGTH (token-count) variance. Under task85's borrowed-structural-skeleton generation convention, line length is part of the fixed skeleton, not a model-generated quantity: every model class reproduces this metric identically by construction. Descriptive on real held-out VM only; EXCLUDED from PRIMARY generation-validation evidence (would trivially "pass" for every model, task85 section 25/56)
HR1_LOCUS_VARIANCE_SHARE	hierarchy	SUPPORTING	DIRECTLY_APPLICABLE_TO_G3	STRUCTURE_REQUIRED	G3	TRUE	Same skeleton-only reasoning as HR1_FOLIO_VARIANCE_SHARE, at LOCUS granularity
HR1_SECTION_VARIANCE_SHARE	hierarchy	CORE	DIRECTLY_APPLICABLE_TO_G3	STRUCTURE_REQUIRED	G3	TRUE	Same skeleton-only reasoning as HR1_FOLIO_VARIANCE_SHARE, at SECTION granularity
HR6_CURRIER_SECTION_NMI	hierarchy	SUPPORTING	NOT_APPLICABLE	NOT_APPLICABLE	G3	FALSE	F2_METRIC_REGISTRY_FINAL.tsv marks this VOYNICH_ONLY_CONTEXT (comparison_eligibility); no synthetic corpus can honestly carry an independent Currier/section-association fact distinct from the borrowed skeleton it was generated onto
