experiment	corpus_identifier	corpus_sha256	transcription_version	git_commit	dirty_status	parameters_config	random_seed	design_method_version	report	raw_intermediate_artifacts	frozen_marker	verdict
experiments/voynich-v1 (Task36 baseline)	data_work/ZL3b-x7.txt (+ ivtff_path)	360d99583145ec549b80edfafdc3f93534f3a11b85a0d52997ba8425e92b87c2	ivtff_sha256 recorded in manifest.json	61d6c206e6dcfab6b721fc1172125818867e9eed	git_dirty recorded (manifest.json)	stages[] array in manifest.json (28-stage config)	N/A - deterministic pipeline, no experiment-level RNG seed field beyond per-stage defaults	N/A - production pipeline run, not a hypothesis-test design	REPORT.md	logs/, outputs/, run-state.json	FROZEN (present, with FROZEN checksum + file count)	COMPLETE
experiments/doyle__homophonic__* (Task55)	Doyle corpus (data_test/pg2097*.txt derivative)	recorded per-run in each dir's manifest (corpus_sha256)	UNKNOWN - not IVTFF, no transcription-version field applicable	4a11ddba588f01326096ce50e16d696e30886c29	git_dirty:true (manifest)	h002/h004/h006/h008 homophone-count variants, uniform/weighted/frequency-v1 recorded in dir name + manifest	recorded (seed001 in dir name)	UNKNOWN - no explicit design-version field found	none (no REPORT.md)	manifest.json, artifacts.json, run-state.json	UNKNOWN - no FROZEN marker found	PARTIAL - rich manifest but directories NOT git-tracked (0 files each) = real loss risk
experiments/inverse-homophony/synthetic-validation (Task57, Phase A)	synthetic corpus (self-generated, not an external file)	UNKNOWN - synthetic input, no single corpus sha256 applicable in the same sense	N/A - not IVTFF	9737c991613eb4fda6f18aec999a13a34225ca0f	git_dirty:true (manifest)	recorded in SYNTHETIC_VALIDATION_REPORT.md	UNKNOWN - not centrally verified in this pass	UNKNOWN	SYNTHETIC_VALIDATION_REPORT.md	UNKNOWN - not verified	UNKNOWN - not found	PARTIAL - dir untracked in git (0 files); Phase B (canonical-Voynich application) artifact LEGACY_MISSING entirely, not merely partial
experiments/rozanova-temerev-v1 (Task58)	Voynich corpus + control corpus (both named in REPORT.md)	corpus_sha256 + control_sha256 present	UNKNOWN - not explicitly an IVTFF-version field	ABSENT from manifest	UNKNOWN - no dirty-status field found	recorded in REPORT.md (method params)	seed 20260816	source citation: arXiv:2608.17096v1 (method version by citation, not internal version string)	REPORT.md	UNKNOWN - not enumerated in this pass	UNKNOWN - no FROZEN marker found	PARTIAL - missing git_commit and dirty status
experiments/glyph-position-v1 (Task59)	Voynich corpus (path + sha256 in manifest)	present	UNKNOWN - not explicit	a6904f0f87f352450cd70f9eabd6c8e6c11710f6 (valid commit, verified via git cat-file -t)	git_dirty:true	recorded in REPORT.md	present (recorded, exact value not re-extracted in this pass)	UNKNOWN - no explicit design-version field found	REPORT.md	UNKNOWN - not enumerated in this pass	UNKNOWN - no FROZEN marker found	COMPLETE (core fields present + verified commit)
experiments/token-repetition-v1 (Task60)	Voynich corpus	corpus_sha256 present	UNKNOWN - not explicit	ba88b2de62331a6638aacaa24112717ec48dd21b (valid commit, verified)	git_dirty:true	recorded in REPORT.md/METHOD.md	seed 20260823	METHOD.md (method version documented, not a version number)	REPORT.md, METHOD.md	UNKNOWN - not enumerated	UNKNOWN - no FROZEN marker found	COMPLETE (core fields present + verified commit)
experiments/character-entropy-v1 (Task61)	Voynich corpus	voynich_sha256 present	UNKNOWN - not explicit	ABSENT from manifest	UNKNOWN - no dirty-status field found	recorded in REPORT.md/BOWERN_ENTROPY_METHOD.md	seed 20260822	BOWERN_ENTROPY_METHOD.md	REPORT.md, BOWERN_ENTROPY_METHOD.md	UNKNOWN - not enumerated	UNKNOWN - no FROZEN marker found	PARTIAL - missing git_commit and dirty status
experiments/token-formation-v1 (Task62)	Voynich corpus	corpus_sha256 present	UNKNOWN - not explicit	ABSENT from manifest	UNKNOWN - no dirty-status field found	recorded in TOKEN_FORMATION_DESIGN.md	seed_start 62000	TOKEN_FORMATION_DESIGN.md	REPORT.md, TOKEN_FORMATION_DESIGN.md	UNKNOWN - not enumerated	DESIGN_FROZEN present (generic 'frozen' text, no commit tie-in)	PARTIAL - missing git_commit and dirty status
experiments/token-transition-v1 (Task63)	Voynich corpus	corpus_sha256 present	UNKNOWN - not explicit	ABSENT from manifest	UNKNOWN - no dirty-status field found	recorded in TOKEN_TRANSITION_DESIGN.md/TRANSITION_MODEL.md	seed_matched, seed_shuffle	TOKEN_TRANSITION_DESIGN.md, TRANSITION_MODEL.md	REPORT.md, TOKEN_TRANSITION_DESIGN.md, TRANSITION_MODEL.md	UNKNOWN - not enumerated	TRANSITION_ANALYSIS_FROZEN + TRANSITION_MODEL_FROZEN present (generic text)	PARTIAL - missing git_commit and dirty status
experiments/line-regime-v1 (Task64)	Voynich corpus	corpus_sha256 present	UNKNOWN - not explicit	6cf53a6dd154161f14c04caa722201750dcaf2a6 (valid commit, verified)	git_dirty:true	recorded in LINE_REGIME_DESIGN.md/REGIME_MODEL.md	base_seed 64000	LINE_REGIME_DESIGN.md, REGIME_MODEL.md; explicit Task58-63 upstream artifact chain	REPORT.md, LINE_REGIME_DESIGN.md, REGIME_MODEL.md	UNKNOWN - not enumerated	two FROZEN markers present	COMPLETE (core fields present + verified commit)
experiments/local-regime-topology-v1 (Task65)	Voynich corpus	corpus_sha256 present	UNKNOWN - not explicit	8e67ee09756dc58568c5f245df260fe199571bfb (valid commit, verified)	git_dirty:true	recorded in LOCAL_REGIME_TOPOLOGY_DESIGN.md	base_seed 65000	LOCAL_REGIME_TOPOLOGY_DESIGN.md; explicit Task64 reproduction check embedded	REPORT.md, LOCAL_REGIME_TOPOLOGY_DESIGN.md	UNKNOWN - not enumerated	DESIGN_FROZEN present	COMPLETE (core fields present + verified commit)
experiments/mechanism-space-v1 (Task66)	Voynich corpus (referenced only via upstream Task58/59 artifacts in VOYNICH_TARGET_MANIFEST.tsv)	UNKNOWN - no centralized corpus sha256 in top manifest	UNKNOWN - not explicit	ABSENT	UNKNOWN - no dirty-status field found at top level	TASK66_DESIGN.md; MECHANISM_GRID.tsv (M0-M11 grid)	UNKNOWN - manifest claims per-mechanism seed/config_hash tracking but values not centrally located in this pass	TASK66_DESIGN.md (heldout_locked_before_search=true, no_inverse_search=true)	REPORT.md, TASK66_DESIGN.md	MECHANISM_GRID.tsv and other grid outputs	DESIGN_FROZEN + PARETO_FROZEN present	PARTIAL/LEGACY_MISSING - no git_commit, no centralized corpus sha256, seed/config_hash claim not independently verified
experiments/recoverability-v1 (Task67)	Voynich corpus (via Task66 chain)	UNKNOWN at manifest level; artifact_digest present but is a content hash, not a corpus sha256	UNKNOWN - not explicit	ABSENT at manifest level	UNKNOWN - no dirty-status field found at top level	CANDIDATE_SELECTION.md, DECODER_DESIGN.md	present per-row in data tables (e.g. CASCADE_DAMAGE.tsv seed=67600001)	content-hash chain-of-custody back to Task66's FINAL_ARCHITECTURE.tsv/MECHANISM_PARETO.tsv	REPORT.md, CANDIDATE_SELECTION.md, DECODER_DESIGN.md	CASCADE_DAMAGE.tsv and other data tables	CANDIDATES_FROZEN + DECODER_FROZEN present (content-hash chains)	PARTIAL - no top-level git_commit or corpus sha256, but real per-row seeds and hash-chain provenance
