sequence	n	canonical_occurrences	eligible_occurrences	physical_blocks	joint_classes	currier_classes	hands	max_block_fraction	block_entropy_bits	classification	token_validity	canonical_token_occurrences	contains_question	contains_at	contains_other_nonstandard_marker	absent_tokens
x000078 x012336	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	297,18	false	false	true	
x000079 x016338	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	254,32	false	false	true	
x000079 x030474	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	254,32	false	false	true	
x000079 x030478	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	254,13	false	false	true	
x000080 x016338	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	211,32	false	false	true	
x000816 x028392	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	57,661	false	false	true	
x001068 x000078	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	340,297	false	false	true	
x001068 x000079	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	340,254	false	false	true	
x001068 x013872	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	340,343	false	false	true	
x001068 x013873	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	340,310	false	false	true	
x001068 x028392	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	340,661	false	false	true	
x001068 x028394	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	340,446	false	false	true	
x001069 x013874	2	7	7	5	3	3	1	0.2857142857142857	2.2359263506290326	GROUP_CONSISTENT	ambiguous-transcription	281,235	false	false	true	
x001069 x028392	2	8	8	8	4	4	1	0.125	3	GROUP_CONSISTENT	ambiguous-transcription	281,661	false	false	true	
x001069 x028393	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	281,563	false	false	true	
x001070 x013873	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	242,310	false	false	true	
x001070 x013874	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	242,235	false	false	true	
x001070 x028392	2	7	7	7	2	2	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	242,661	false	false	true	
x001579 x013056	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	86,193	false	false	true	
x001752 x028392	2	10	10	10	4	4	1	0.1	3.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	103,661	false	false	true	
x001752 x028393	2	9	9	8	4	4	1	0.2222222222222222	2.94770277922009	GROUP_CONSISTENT	ambiguous-transcription	103,563	false	false	true	
x001752 x028394	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	103,446	false	false	true	
x001753 x028392	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	76,661	false	false	true	
x001753 x028393	2	7	7	7	4	4	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	76,563	false	false	true	
x001754 x028392	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	76,661	false	false	true	
x001754 x028393	2	8	8	7	3	3	1	0.25	2.75	GROUP_CONSISTENT	ambiguous-transcription	76,563	false	false	true	
x003804 x013872	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	70,343	false	false	true	
x003804 x013873	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	70,310	false	false	true	
x003806 x013872	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	62,343	false	false	true	
x008298 x027948	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	12,20	false	false	true	
x008298 x027949	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	12,18	false	false	true	
x008299 x027949	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	10,18	false	false	true	
x008383 x028392	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	29,661	false	false	true	
x011119 x028392	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	66,661	false	false	true	
x011119 x028393	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	66,563	false	false	true	
x011460 x013417	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	51,137	false	false	true	
