conclusion_id	phase1_conclusion	phase1_evidence_status	phase2_status	phase2_evidence	interpretation
P1P2-01	VM token formation is strongly constrained and constrained formation is central in the tested synthetic grid	OBSERVED/SUPPORTED for scoped tests	CONFIRMED	Fingerprint V2 preserves edit/token CORE structure across ZL3b and IT2a; all 13 CORE statuses remain stable	The surface constraint is robust; its generating cause remains unidentified
P1P2-02	Edit-neighborhood and near-repeat structure is enriched and locally organized	OBSERVED	REFINED	Task77 found a large reproducible edit-rule network, but aggregate concentration did not exceed the position/bigram-matched C-GRAMMAR null	Edit structure exists, but productive lexical paradigms beyond bounded grammar were not supported
P1P2-03	Many tested mechanisms retain plaintext/input dependence while improving selected surface properties	OBSERVED on synthetic mechanisms	CONFIRMED	Task82/82a explicitly measured input-sensitive and input-insensitive mechanism cells across corpora and scales	Input dependence is measurable but does not imply autonomous decoding or VM plaintext
P1P2-04	Statistical compatibility does not identify reversibility, information retention, or recovery	SUPPORTED on synthetic tests	CONFIRMED	Task81/82 separated external state, convention, path, context, internal association, collisions, and R0–R6 recovery; Task83r endpoint proximity did not yield class support	Surface proximity and information behavior remain distinct axes
P1P2-05	Some tested transformations are ambiguous or many-to-one	OBSERVED on synthetic mechanisms	REFINED	Phase II distinguishes autonomous recovery, knowledge-assisted recovery, ambiguous recovery, and destroyed information for operational external-memory models	The distinction is sharper, but no VM preimage count or information loss was measured
P1P2-06	Autonomous recovery may fail even when recovery with a codebook/state is possible	SUPPORTED on synthetic tests	CONFIRMED	Wrong-knowledge controls and knowledge ablations in Task76/78/82 quantify specificity and ambiguity	Confirmed for tested mechanisms, not demonstrated for the VM
P1P2-07	Interpretation may depend on context or external knowledge	MOTIVATION/COMPATIBLE, not a VM result	REFINED	Fontana models operationalize convention/path/index/association dependence; external-memory compatibility is only LEVEL_1	Knowledge dependence is a coherent model property, not an established VM property
P1P2-08	Simple inverse transposition and position-independent random homophony are insufficient scoped explanations	DISFAVORED for tested variants	UNCHANGED	Phase II did not repeat or broaden those Phase I mechanism tests	No global verdict on cipher or autonomous transformation follows
P1P2-09	Natural/artificial formal symbolic language remains viable but unselected	VIABLE, NOT SELECTED	UNCHANGED	Natural text is descriptively closest but only PARTIAL; formal grammar was not directly adjudicated	Neither natural language nor formal language was identified
P1P2-10	Structured message-free generation remains viable but unselected	VIABLE, NOT SELECTED	NOT_TESTED_BY_PHASE_II	No semantic-absence test or direct meaningful-vs-meaningless formal-grammar experiment was performed	No verdict on meaningless generation
P1P2-11	No experiment establishes intrinsic information loss in the VM	NOT ESTABLISHED	CONFIRMED	Phase II measured loss only in synthetic/paired transformations and made no VM recoverability inference	VM information loss remains unknown
P1P2-12	The broad classes are only partially distinguishable	NOT IDENTIFIED	CONFIRMED	Task83r: 3/13 CORE in one family; BEST_SUPPORTED_CLASS INCONCLUSIVE; MECHANISM_IDENTIFICATION_FROM_F2 NOT_IDENTIFIABLE	Phase II locates the direct-coverage cause of non-identifiability
