handler_id	executor_stage	scientific_function	input_schema	output_schema	deterministic	seed_domain	implementation	tests
UNRESOLVED_M0_FIT	FIT	M0 fitting	UNRESOLVED	UNRESOLVED	UNESTABLISHED	UNRESOLVED	BLOCKED_AMBIGUOUS_A01	NOT_RUN
UNRESOLVED_M1_FIT	FIT	M1 fitting	UNRESOLVED	UNRESOLVED	UNESTABLISHED	UNRESOLVED	BLOCKED_AMBIGUOUS_A02	NOT_RUN
UNRESOLVED_M2_FIT	FIT	M2 induction	UNRESOLVED	UNRESOLVED	UNESTABLISHED	UNRESOLVED	BLOCKED_AMBIGUOUS_A03	NOT_RUN
UNRESOLVED_M3_FIT	FIT	M3 exact and approximate induction	UNRESOLVED	UNRESOLVED	UNESTABLISHED	UNRESOLVED	BLOCKED_AMBIGUOUS_A04	NOT_RUN
UNRESOLVED_M4_FIT	FIT	M4 probabilistic induction	UNRESOLVED	UNRESOLVED	UNESTABLISHED	UNRESOLVED	BLOCKED_AMBIGUOUS_A05	NOT_RUN
UNRESOLVED_M5_FIT	FIT	M5 component/rule induction	UNRESOLVED	UNRESOLVED	UNESTABLISHED	UNRESOLVED	BLOCKED_AMBIGUOUS_A06	NOT_RUN
UNRESOLVED_PREDICTIVE	PREDICTIVE	PM1/PM2/PM4/PM5/PM6 evidence	UNRESOLVED	UNRESOLVED	UNESTABLISHED	UNRESOLVED	BLOCKED_AMBIGUOUS_A07_A10	NOT_RUN
UNRESOLVED_GENERATION	GENERATION	M0-M5 deterministic generation	UNRESOLVED	UNRESOLVED	UNESTABLISHED	UNRESOLVED	BLOCKED_AMBIGUOUS_A01_A07_A11	NOT_RUN
UNRESOLVED_STRUCTURAL	STRUCTURAL	F2 metric evidence	UNRESOLVED	UNRESOLVED	UNESTABLISHED	UNRESOLVED	BLOCKED_AMBIGUOUS_A11	NOT_RUN
UNRESOLVED_AGGREGATION	AGGREGATION	gates complexity minimality final verdict	UNRESOLVED	UNRESOLVED	UNESTABLISHED	NONE	BLOCKED_AMBIGUOUS_A08_A12_A17	NOT_RUN

