message	category	natural	scenario	decoded	exact_recovery	char_error_rate	fraction_after_first_error	error_class	detectable	correctable_without_m
ANNA	palindrome_high_repeat	true	deletion_physical_collapse	ANAS	false	0.5000	0.0000	synchronization	true	false
ANNA	palindrome_high_repeat	true	deletion_ring_identity_marked	AN?A	false	0.2500	1.0000	local	true	true
ANNA	palindrome_high_repeat	true	multiple_independent_damages_3	MAAA	false	0.7500	0.3333	cascading	true	false
ANNA	palindrome_high_repeat	true	orientation_mark_loss	GTTG	false	1.0000	0.0000	global	true	false
ANNA	palindrome_high_repeat	true	outer_contour_loss_2rings	ANNA	true	0.0000	1.0000	none	false	true
ANNA	palindrome_high_repeat	true	random_ring_shift	ANSA	false	0.2500	1.0000	local	true	true
ANNA	palindrome_high_repeat	true	single_position_substitution	ANVA	false	0.2500	1.0000	local	true	false
ANNA	palindrome_high_repeat	true	swap_two_elements	NANA	false	0.5000	0.6667	synchronization	true	false
CONSTANTINA	long_high_repeat_nt	true	deletion_physical_collapse	CONSTNTINAS	false	0.1818	0.0000	synchronization	true	false
CONSTANTINA	long_high_repeat_nt	true	deletion_ring_identity_marked	CONST?NTINA	false	0.0909	1.0000	local	true	true
CONSTANTINA	long_high_repeat_nt	true	multiple_independent_damages_3	OONFTANGINA	false	0.2727	0.8000	cascading	true	false
CONSTANTINA	long_high_repeat_nt	true	orientation_mark_loss	IVTABGTBPTG	false	0.9091	0.0000	cascading	true	false
CONSTANTINA	long_high_repeat_nt	true	outer_contour_loss_2rings	CONSTANTIN?	false	0.0909	1.0000	local	true	true
CONSTANTINA	long_high_repeat_nt	true	random_ring_shift	CONSTFNTINA	false	0.0909	1.0000	local	true	true
CONSTANTINA	long_high_repeat_nt	true	single_position_substitution	CONSTHNTINA	false	0.0909	1.0000	local	true	true
CONSTANTINA	long_high_repeat_nt	true	swap_two_elements	OCNSTANTINA	false	0.1818	0.9000	synchronization	true	false
DEVS	short_no_repeat	true	deletion_physical_collapse	DESS	false	0.2500	1.0000	local	true	true
DEVS	short_no_repeat	true	deletion_ring_identity_marked	DE?S	false	0.2500	1.0000	local	true	true
DEVS	short_no_repeat	true	multiple_independent_damages_3	PQHS	false	0.7500	0.3333	cascading	true	false
DEVS	short_no_repeat	true	orientation_mark_loss	KLCA	false	1.0000	0.0000	global	true	false
DEVS	short_no_repeat	true	outer_contour_loss_2rings	DEVS	true	0.0000	1.0000	none	false	true
DEVS	short_no_repeat	true	random_ring_shift	DEBS	false	0.2500	1.0000	local	true	true
DEVS	short_no_repeat	true	single_position_substitution	DEDS	false	0.2500	1.0000	local	true	true
DEVS	short_no_repeat	true	swap_two_elements	EDVS	false	0.5000	0.6667	synchronization	true	false
EHPQHAFL	random_control	false	deletion_physical_collapse	EHPQAFLS	false	0.2500	0.0000	synchronization	false	false
EHPQHAFL	random_control	false	deletion_ring_identity_marked	EHPQ?AFL	false	0.1250	1.0000	local	false	false
EHPQHAFL	random_control	false	multiple_independent_damages_3	QHCQHMFL	false	0.3750	0.7143	cascading	false	false
EHPQHAFL	random_control	false	orientation_mark_loss	LOXYOGMR	false	1.0000	0.0000	global	false	false
EHPQHAFL	random_control	false	outer_contour_loss_2rings	EHPQHAFL	true	0.0000	1.0000	none	false	false
EHPQHAFL	random_control	false	random_ring_shift	EHPQNAFL	false	0.1250	1.0000	local	false	false
EHPQHAFL	random_control	false	single_position_substitution	EHPQPAFL	false	0.1250	1.0000	local	false	false
EHPQHAFL	random_control	false	swap_two_elements	HEPQHAFL	false	0.2500	0.8571	synchronization	false	false
EHSCI	random_control	false	deletion_physical_collapse	EHCIS	false	0.4000	0.0000	synchronization	false	false
EHSCI	random_control	false	deletion_ring_identity_marked	EH?CI	false	0.2000	1.0000	local	false	false
EHSCI	random_control	false	multiple_independent_damages_3	QTSOI	false	0.6000	0.5000	cascading	false	false
EHSCI	random_control	false	orientation_mark_loss	LOAIP	false	1.0000	0.0000	global	false	false
EHSCI	random_control	false	outer_contour_loss_2rings	EHSCI	true	0.0000	1.0000	none	false	false
EHSCI	random_control	false	random_ring_shift	EHZCI	false	0.2000	1.0000	local	false	false
EHSCI	random_control	false	single_position_substitution	EHBCI	false	0.2000	1.0000	local	false	false
EHSCI	random_control	false	swap_two_elements	HESCI	false	0.4000	0.7500	synchronization	false	false
EQXAZRPNTRI	random_control	false	deletion_physical_collapse	EQXAZPNTRIS	false	0.1818	0.0000	synchronization	false	false
EQXAZRPNTRI	random_control	false	deletion_ring_identity_marked	EQXAZ?PNTRI	false	0.0909	1.0000	local	false	false
EQXAZRPNTRI	random_control	false	multiple_independent_damages_3	QQXMZRPATRI	false	0.2727	0.8000	cascading	false	false
EQXAZRPNTRI	random_control	false	orientation_mark_loss	LYDGFZXTBZP	false	1.0000	0.0000	global	false	false
EQXAZRPNTRI	random_control	false	outer_contour_loss_2rings	EQXAZRPNTR?	false	0.0909	1.0000	local	false	false
EQXAZRPNTRI	random_control	false	random_ring_shift	EQXAZYPNTRI	false	0.0909	1.0000	local	false	false
EQXAZRPNTRI	random_control	false	single_position_substitution	EQXAZAPNTRI	false	0.0909	1.0000	local	false	false
EQXAZRPNTRI	random_control	false	swap_two_elements	QEXAZRPNTRI	false	0.1818	0.9000	synchronization	false	false
ETONXFER	random_control	false	deletion_physical_collapse	ETONFERS	false	0.2500	0.0000	synchronization	false	false
ETONXFER	random_control	false	deletion_ring_identity_marked	ETON?FER	false	0.1250	1.0000	local	false	false
ETONXFER	random_control	false	multiple_independent_damages_3	QTBNXRER	false	0.3750	0.7143	cascading	false	false
ETONXFER	random_control	false	orientation_mark_loss	LBVTDMLZ	false	1.0000	0.0000	global	false	false
ETONXFER	random_control	false	outer_contour_loss_2rings	ETONXFER	true	0.0000	1.0000	none	false	false
ETONXFER	random_control	false	random_ring_shift	ETONCFER	false	0.1250	1.0000	local	false	false
ETONXFER	random_control	false	single_position_substitution	ETONEFER	false	0.1250	1.0000	local	false	false
ETONXFER	random_control	false	swap_two_elements	TEONXFER	false	0.2500	0.8571	synchronization	false	false
EXPERIMENTA	long_high_repeat_e_rare_x	true	deletion_physical_collapse	EXPERMENTAS	false	0.1818	0.0000	synchronization	true	false
EXPERIMENTA	long_high_repeat_e_rare_x	true	deletion_ring_identity_marked	EXPER?MENTA	false	0.0909	1.0000	local	true	true
EXPERIMENTA	long_high_repeat_e_rare_x	true	multiple_independent_damages_3	QXPQRIMQNTA	false	0.2727	0.8000	cascading	true	false
EXPERIMENTA	long_high_repeat_e_rare_x	true	orientation_mark_loss	LDXLZPSLTBG	false	1.0000	0.0000	global	true	false
EXPERIMENTA	long_high_repeat_e_rare_x	true	outer_contour_loss_2rings	EXPERIMENT?	false	0.0909	1.0000	local	true	true
EXPERIMENTA	long_high_repeat_e_rare_x	true	random_ring_shift	EXPEROMENTA	false	0.0909	1.0000	local	true	true
EXPERIMENTA	long_high_repeat_e_rare_x	true	single_position_substitution	EXPERQMENTA	false	0.0909	1.0000	local	true	true
EXPERIMENTA	long_high_repeat_e_rare_x	true	swap_two_elements	XEPERIMENTA	false	0.1818	0.9000	synchronization	true	false
EXTRA	rare_symbol_x	true	deletion_physical_collapse	EXRAS	false	0.4000	0.0000	synchronization	true	false
EXTRA	rare_symbol_x	true	deletion_ring_identity_marked	EX?RA	false	0.2000	1.0000	local	true	true
EXTRA	rare_symbol_x	true	multiple_independent_damages_3	QITEA	false	0.6000	0.5000	cascading	true	false
EXTRA	rare_symbol_x	true	orientation_mark_loss	LDBZG	false	1.0000	0.0000	global	true	false
EXTRA	rare_symbol_x	true	outer_contour_loss_2rings	EXTRA	true	0.0000	1.0000	none	false	true
EXTRA	rare_symbol_x	true	random_ring_shift	EXARA	false	0.2000	1.0000	local	true	true
EXTRA	rare_symbol_x	true	single_position_substitution	EXCRA	false	0.2000	1.0000	local	true	true
EXTRA	rare_symbol_x	true	swap_two_elements	XETRA	false	0.4000	0.7500	synchronization	true	false
FONTANA	medium_repeat_an	true	deletion_physical_collapse	FONANAS	false	0.2857	0.0000	synchronization	true	false
FONTANA	medium_repeat_an	true	deletion_ring_identity_marked	FON?ANA	false	0.1429	1.0000	local	true	true
FONTANA	medium_repeat_an	true	multiple_independent_damages_3	ROATMNA	false	0.4286	0.6667	cascading	true	false
FONTANA	medium_repeat_an	true	orientation_mark_loss	MVTBGTG	false	1.0000	0.0000	global	true	false
FONTANA	medium_repeat_an	true	outer_contour_loss_2rings	FONTANA	true	0.0000	1.0000	none	false	true
FONTANA	medium_repeat_an	true	random_ring_shift	FONAANA	false	0.1429	1.0000	local	true	true
FONTANA	medium_repeat_an	true	single_position_substitution	FONCANA	false	0.1429	1.0000	local	true	true
FONTANA	medium_repeat_an	true	swap_two_elements	OFNTANA	false	0.2857	0.8333	synchronization	true	false
GLORIA	medium_no_repeat	true	deletion_physical_collapse	GLOIAS	false	0.3333	0.0000	synchronization	true	false
GLORIA	medium_no_repeat	true	deletion_ring_identity_marked	GLO?IA	false	0.1667	1.0000	local	true	true
GLORIA	medium_no_repeat	true	multiple_independent_damages_3	SLBRVA	false	0.5000	0.6000	cascading	true	false
GLORIA	medium_no_repeat	true	orientation_mark_loss	NRVZPG	false	1.0000	0.0000	global	true	false
GLORIA	medium_no_repeat	true	outer_contour_loss_2rings	GLORIA	true	0.0000	1.0000	none	false	true
GLORIA	medium_no_repeat	true	random_ring_shift	GLOYIA	false	0.1667	1.0000	local	true	true
GLORIA	medium_no_repeat	true	single_position_substitution	GLOAIA	false	0.1667	1.0000	local	true	true
GLORIA	medium_no_repeat	true	swap_two_elements	LGORIA	false	0.3333	0.8000	synchronization	true	false
HKEXIEHAYLI	random_control	false	deletion_physical_collapse	HKEXIHAYLIS	false	0.1818	0.0000	synchronization	false	false
