record_id	section	panel	stolfi_group	stolfi_number	stolfi_coordinate	transcriber	stolfi_eva	stolfi_alt_eva	label_class	object_type	comment	match_status	match_method	validated_ivtff_locus_type	raw_lexical_candidate_count	eligible_candidate_count	zl3b_locus	zl3b_locus_type	index_in_locus	absolute_token_positions	zl3b_eva_tokens	eligible_candidates
0092	astro	f67r1	S	1	f67r1.S.1	C	otaldy	-	A	?	circle sector	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.8	R	0	12004	otaldy	f67r1.8:0:otaldy:R
0093	astro	f67r1	S	1	f67r1.S.1	V	otaldy	otalGy	A	?	circle sector-	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.8	R	0	12004	otaldy	f67r1.8:0:otaldy:R
0094	astro	f67r1	S	2	f67r1.S.2	C	otoky	-	A	?	circle sector	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.9	R	0	12005	otoky	f67r1.9:0:otoky:R
0095	astro	f67r1	S	2	f67r1.S.2	V	otoky	-	A	?	circle sector-	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.9	R	0	12005	otoky	f67r1.9:0:otoky:R
0096	astro	f67r1	S	3	f67r1.S.3	C	seeyar	-	A	?	circle sector	MATCHED	COORDINATE_PEER_CONSENSUS	R	0	0	f67r1.10	R	0	12006	seeaiir	
0097	astro	f67r1	S	3	f67r1.S.3	V	seeaiir	seeaiib	A	?	circle sector-	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.10	R	0	12006	seeaiir	f67r1.10:0:seeaiir:R
0098	astro	f67r1	S	4	f67r1.S.4	C	ykas.asy	-	A	?	circle sector	MATCHED	COORDINATE_PEER_CONSENSUS	R	0	0	f67r1.11	R	0	12007,12008	ykees ary	
0099	astro	f67r1	S	4	f67r1.S.4	V	ykees.ary	-	A	?	circle sector-	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.11	R	0	12007,12008	ykees ary	f67r1.11:0:ykees ary:R
0100	astro	f67r1	S	5	f67r1.S.5	C	sosainr	-	A	?	circle sector	MATCHED	COORDINATE_PEER_CONSENSUS	R	0	0	f67r1.12	R	0	12009	sosaiir	
0101	astro	f67r1	S	5	f67r1.S.5	V	sosaiir	sosaiib	A	?	circle sector-	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.12	R	0	12009	sosaiir	f67r1.12:0:sosaiir:R
0102	astro	f67r1	S	6	f67r1.S.6	C	oteey.dar	-	A	?	circle sector	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.13	R	0	12010,12011	oteey dar	f67r1.13:0:oteey dar:R
0103	astro	f67r1	S	6	f67r1.S.6	V	oteey.dar	oteey.dab	A	?	circle sector-	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.13	R	0	12010,12011	oteey dar	f67r1.13:0:oteey dar:R
0104	astro	f67r1	S	7	f67r1.S.7	C	ytodaiir	-	A	?	circle sector	UNMATCHED	NO_LEXICAL_CANDIDATE	R	0	0						
0105	astro	f67r1	S	7	f67r1.S.7	V	ytodaiir	ytoGaiib	A	?	circle sector-	UNMATCHED	NO_LEXICAL_CANDIDATE	R	0	0						
0106	astro	f67r1	S	8	f67r1.S.8	C	sheoraj	-	A	?	circle sector	UNMATCHED	NO_LEXICAL_CANDIDATE	R	0	0						
0107	astro	f67r1	S	8	f67r1.S.8	V	cheosam	-	A	?	circle sector-	UNMATCHED	NO_LEXICAL_CANDIDATE	R	0	0						
0108	astro	f67r1	S	9	f67r1.S.9	C	ykeeody	-	A	?	circle sector	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.16	R	0	12015	ykeeody	f67r1.16:0:ykeeody:R
0109	astro	f67r1	S	9	f67r1.S.9	V	ykeeody	-	A	?	circle sector-	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.16	R	0	12015	ykeeody	f67r1.16:0:ykeeody:R
0110	astro	f67r1	S	10	f67r1.S.10	C	okeol.sal	-	A	?	circle sector	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.17	R	0	12016,12017	okeol sal	f67r1.17:0:okeol sal:R
0111	astro	f67r1	S	10	f67r1.S.10	V	okeol.sal	-	A	?	circle sector-	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.17	R	0	12016,12017	okeol sal	f67r1.17:0:okeol sal:R
0112	astro	f67r1	S	11	f67r1.S.11	C	okeey.sar	-	A	?	circle sector	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.18	R	0	12018,12019	okeey sar	f67r1.18:0:okeey sar:R
0113	astro	f67r1	S	11	f67r1.S.11	V	okeey.sar	-	A	?	circle sector-	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.18	R	0	12018,12019	okeey sar	f67r1.18:0:okeey sar:R
0114	astro	f67r1	S	12	f67r1.S.12	C	dalary	-	A	?	circle sector	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.19	R	0	12020	dalary	f67r1.19:0:dalary:R
0115	astro	f67r1	S	12	f67r1.S.12	V	dalary	dalaby	A	?	circle sector-	MATCHED	UNIQUE_EXACT	R	1	1	f67r1.19	R	0	12020	dalary	f67r1.19:0:dalary:R
0116	astro	f67r2	L	1	f67r2.L.1	V	okal	-	A	planet?	moon 1, dark coloured; the Sun?	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.22	L	0	12077	okal	f67r2.22:0:okal:L
0117	astro	f67r2	L	1	f67r2.L.1	Z	okal	-	A	planet?	moon 1, dark coloured; the Sun?	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.22	L	0	12077	okal	f67r2.22:0:okal:L
0118	astro	f67r2	L	2	f67r2.L.2	V	okain.am	-	A	planet?	moon 3, dark coloured; Venus?	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.28	L	0	12091,12092	okain am	f67r2.28:0:okain am:L
0119	astro	f67r2	L	2	f67r2.L.2	Z	okain.am	-	A	planet?	moon 3, dark coloured; Venus?	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.28	L	0	12091,12092	okain am	f67r2.28:0:okain am:L
0120	astro	f67r2	L	3	f67r2.L.3	V	opcholdy	-	A	planet?	moon 4, light coloured; Mercury?	MATCHED	UNIQUE_EXACT	L	1	1	f67r2.31	L	0	12097	opcholdy	f67r2.31:0:opcholdy:L
