message	category	natural	decoded	exact_recovery
PAX	short_no_repeat	true	PAX	true
ANNA	palindrome_high_repeat	true	ANNA	true
DEVS	short_no_repeat	true	DEVS	true
EXTRA	rare_symbol_x	true	EXTRA	true
NATVRA	medium_low_repeat	true	NATVRA	true
GLORIA	medium_no_repeat	true	GLORIA	true
MEMORIA	medium_repeat_m	true	MEMORIA	true
FONTANA	medium_repeat_an	true	FONTANA	true
KALENDAE	rare_symbol_k	true	KALENDAE	true
SPECVLVM	thematic_device_name	true	SPECVLVM	true
EXPERIMENTA	long_high_repeat_e_rare_x	true	EXPERIMENTA	true
CONSTANTINA	long_high_repeat_nt	true	CONSTANTINA	true
ZQB	random_control	false	ZQB	true
LSQE	random_control	false	LSQE	true
PCPL	random_control	false	PCPL	true
EHSCI	random_control	false	EHSCI	true
PDCTHH	random_control	false	PDCTHH	true
QKCICV	random_control	false	QKCICV	true
RQGEAOZ	random_control	false	RQGEAOZ	true
PFIGFVK	random_control	false	PFIGFVK	true
ETONXFER	random_control	false	ETONXFER	true
EHPQHAFL	random_control	false	EHPQHAFL	true
HKEXIEHAYLI	random_control	false	HKEXIEHAYLI	true
EQXAZRPNTRI	random_control	false	EQXAZRPNTRI	true
# summary: 24/24 exact (1.0000), CI computed in TASK76_REPORT.md
